trial_id,final_abs_q,fixation_d_auc,fixation_d_peak,fixation_d_mean,stimulus_d_auc,stimulus_d_peak,stimulus_d_mean,response_d_auc,response_d_peak,response_d_mean,d_onset,d_peak_time,d_auc_total,fixation_m_auc,fixation_m_peak,fixation_m_mean,stimulus_m_auc,stimulus_m_peak,stimulus_m_mean,response_m_auc,response_m_peak,response_m_mean,m_onset,m_peak_time,m_auc_total,q_onset,q_peak_time,coherence,label,seq_len,difficulty
0,1.2718288898468018,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.82757169008255,0.07239127159118652,0.034552913159132004,1.0934288501739502,0.07947015762329102,0.07792726159095764,15,41,1.9954993724822998,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.28511327505111694,0.03397360071539879,0.012084157206118107,0.6521861553192139,0.05344585329294205,0.04646351560950279,22,49,0.9723582863807678,24,49,-0.6000000238418579,-1.0,50.0,0.6000000238418579
1,0.9109792113304138,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.5787381529808044,0.05194437503814697,0.02419063076376915,0.8094922304153442,0.05886685848236084,0.05769524723291397,15,43,1.4419169425964355,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.19932526350021362,0.02375790849328041,0.008448323234915733,0.47654134035110474,0.039518751204013824,0.03393375128507614,22,49,0.7004794478416443,24,49,-0.4000000059604645,-1.0,50.0,0.4000000059604645
2,0.36637571454048157,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.1719895303249359,0.02269396185874939,0.007335677742958069,0.3995105028152466,0.030326008796691895,0.028465840965509415,23,49,0.5956777334213257,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.04897024482488632,0.008128926157951355,0.0021215425804257393,0.22623908519744873,0.021889999508857727,0.016117719933390617,28,49,0.2838839590549469,29,49,0.20000000298023224,1.0,50.0,0.20000000298023224
3,1.25642728805542,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.7878655195236206,0.07194995880126953,0.0329558365046978,1.1006138324737549,0.07998907566070557,0.07843425124883652,16,42,1.9625780582427979,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.27076396346092224,0.03284379094839096,0.011487587355077267,0.7407650947570801,0.06919340044260025,0.05287172272801399,24,49,1.0456933975219727,24,49,0.6000000238418579,1.0,50.0,0.6000000238418579
4,0.4531994163990021,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.2646488845348358,0.02647341787815094,0.011117641814053059,0.4328118860721588,0.03195911645889282,0.030846960842609406,17,47,0.7251852750778198,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.08517489582300186,0.01101994700729847,0.003627549158409238,0.24429890513420105,0.021172059699892998,0.017391346395015717,24,49,0.34099748730659485,25,49,-0.20000000298023224,-1.0,50.0,0.20000000298023224
5,1.2954453229904175,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.8062321543693542,0.07342106103897095,0.033719927072525024,1.1275339126586914,0.08195841312408447,0.08035560697317123,17,41,2.009843349456787,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.2672167122364044,0.03431704640388489,0.011375163681805134,0.7668991088867188,0.07141731679439545,0.05473892018198967,24,49,1.0697786808013916,25,49,0.6000000238418579,1.0,50.0,0.6000000238418579
6,0.36034148931503296,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.2271365523338318,0.01925593614578247,0.009472798556089401,0.33265620470046997,0.02465033531188965,0.023709913715720177,15,47,0.5806251764297485,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.0815468430519104,0.008912676945328712,0.003440281841903925,0.18896986544132233,0.016340015456080437,0.013459685258567333,21,49,0.2797568738460541,23,49,-0.20000000298023224,-1.0,50.0,0.20000000298023224
7,1.2719448804855347,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.8290787935256958,0.07193374633789062,0.034604042768478394,1.078720211982727,0.07835054397583008,0.0768861472606659,15,41,1.9815731048583984,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.29258158802986145,0.034017413854599,0.012383767403662205,0.7449191212654114,0.06871533393859863,0.0531693696975708,23,49,1.0728017091751099,23,49,0.6000000238418579,1.0,50.0,0.6000000238418579
8,1.282321810722351,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.822475254535675,0.07382094860076904,0.03437764570116997,1.1080334186553955,0.08055853843688965,0.07896845042705536,16,41,2.006329298019409,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.2756994366645813,0.03421415016055107,0.011712415143847466,0.6593380570411682,0.05398443341255188,0.046969301998615265,22,49,0.9703822731971741,24,49,-0.6000000238418579,-1.0,50.0,0.6000000238418579
9,0.3806220293045044,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.24279561638832092,0.022077754139900208,0.01015559770166874,0.3351149559020996,0.02441614866256714,0.023892071098089218,16,45,0.6006503105163574,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.08134418725967407,0.00992720015347004,0.0034524661023169756,0.20179222524166107,0.016755519434809685,0.014366918243467808,23,49,0.29346221685409546,24,49,-0.20000000298023224,-1.0,50.0,0.20000000298023224
10,1.2817528247833252,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.8332785367965698,0.07208901643753052,0.03477514162659645,1.0822584629058838,0.07862508296966553,0.07713949680328369,16,41,1.9896068572998047,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.29023897647857666,0.034597113728523254,0.012301654554903507,0.7511032223701477,0.06912128627300262,0.053613416850566864,23,49,1.0772064924240112,24,49,0.6000000238418579,1.0,50.0,0.6000000238418579
11,1.241528034210205,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.8094553351402283,0.07161104679107666,0.03381265327334404,1.06839919090271,0.0776216983795166,0.07614593207836151,15,41,1.9510895013809204,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.2799715995788574,0.032998789101839066,0.011858995072543621,0.6382307410240173,0.052320919930934906,0.0454644039273262,22,49,0.9523050785064697,23,49,-0.6000000238418579,-1.0,50.0,0.6000000238418579
12,0.7124549150466919,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.4404863715171814,0.040381431579589844,0.01842930167913437,0.6425651907920837,0.04681813716888428,0.04580138623714447,17,44,1.1251776218414307,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.14477336406707764,0.018548935651779175,0.0061620683409273624,0.37873727083206177,0.03154817223548889,0.026963762938976288,23,49,0.5427586436271667,25,49,-0.4000000059604645,-1.0,50.0,0.4000000059604645
13,1.4601807594299316,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.9277291893959045,0.0847516655921936,0.03880641981959343,1.2678145170211792,0.0924232006072998,0.09034613519906998,16,40,2.2827839851379395,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.30652424693107605,0.0385049544274807,0.013031222857534885,0.7421892285346985,0.061012282967567444,0.05288027971982956,22,49,1.0885032415390015,24,49,-0.800000011920929,-1.0,50.0,0.800000011920929
14,1.2374881505966187,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.7836284637451172,0.0708271861076355,0.032763902097940445,1.0646312236785889,0.07731747627258301,0.0758814588189125,16,41,1.9209446907043457,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.2644352316856384,0.033045995980501175,0.011238484643399715,0.7293336391448975,0.06718858331441879,0.052048299461603165,24,49,1.0281168222427368,24,49,0.6000000238418579,1.0,50.0,0.6000000238418579
15,1.158521056175232,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.7308672666549683,0.06662601232528687,0.030569426715373993,1.0083529949188232,0.07321047782897949,0.07186879962682724,16,42,1.8075132369995117,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.2505406141281128,0.030646787956357002,0.010634715668857098,0.6809211373329163,0.06270482391119003,0.048586759716272354,24,49,0.963341474533081,24,49,0.6000000238418579,1.0,50.0,0.6000000238418579
16,1.2526358366012573,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.8204727172851562,0.0719497799873352,0.03426012024283409,1.0683989524841309,0.07763946056365967,0.07614929229021072,15,41,1.962449073791504,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.28204792737960815,0.03363458067178726,0.011954763904213905,0.6440433859825134,0.05257859826087952,0.04588102549314499,22,49,0.9608197212219238,24,49,-0.6000000238418579,-1.0,50.0,0.6000000238418579
17,0.8801369071006775,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.5663870573043823,0.049594223499298096,0.023649584501981735,0.7599639296531677,0.05514407157897949,0.05417700111865997,15,43,1.377394199371338,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.19963133335113525,0.023795193061232567,0.008461310528218746,0.5099438428878784,0.04559031128883362,0.036367449909448624,23,49,0.7342739105224609,24,49,0.4000000059604645,1.0,50.0,0.4000000059604645
18,1.113146185874939,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.7015722990036011,0.06332516670227051,0.029331613332033157,0.9766963124275208,0.07092583179473877,0.06961073726415634,16,42,1.7435836791992188,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.2437915802001953,0.029261024668812752,0.010337037965655327,0.6527891159057617,0.06019959598779678,0.046577319502830505,23,49,0.9270104765892029,24,49,0.6000000238418579,1.0,50.0,0.6000000238418579
19,1.5789411067962646,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,1.0158249139785767,0.09032350778579712,0.042441681027412415,1.3335521221160889,0.09746456146240234,0.09503130614757538,16,40,2.4420392513275146,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.34710997343063354,0.04166023060679436,0.014717756770551205,0.9359846115112305,0.08886191248893738,0.0668547973036766,24,49,1.326359510421753,24,49,0.800000011920929,1.0,50.0,0.800000011920929
20,1.1590548753738403,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.73722243309021,0.06585627794265747,0.03080824203789234,1.003401517868042,0.07284212112426758,0.07151701301336288,16,42,1.8083852529525757,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.2550308406352997,0.03080201894044876,0.010817429050803185,0.6797108054161072,0.06249009817838669,0.04850204288959503,23,49,0.966745913028717,24,49,0.6000000238418579,1.0,50.0,0.6000000238418579
21,1.1695175170898438,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.7588927745819092,0.06675612926483154,0.031693048775196075,1.005587100982666,0.07300102710723877,0.07167293131351471,16,41,1.8330504894256592,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.2586626410484314,0.031374070793390274,0.010974141769111156,0.6044924855232239,0.04938323795795441,0.04305817559361458,22,49,0.8955591320991516,24,49,-0.6000000238418579,-1.0,50.0,0.6000000238418579
22,0.5433990955352783,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.3515343964099884,0.030688047409057617,0.01467735506594181,0.4656710922718048,0.03380441665649414,0.033204250037670135,16,44,0.8487750291824341,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.12390728294849396,0.01514424942433834,0.0052593303844332695,0.31191393733024597,0.02689550817012787,0.022231221199035645,23,49,0.4515284299850464,24,49,0.20000000298023224,1.0,50.0,0.20000000298023224
23,0.38470256328582764,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.20972982048988342,0.021751508116722107,0.008826440200209618,0.38907745480537415,0.029099583625793457,0.02772512100636959,18,48,0.6224608421325684,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.06387017667293549,0.00881778635084629,0.002731317188590765,0.2102736383676529,0.018854251131415367,0.01496790535748005,25,49,0.28339895606040955,27,49,-0.20000000298023224,-1.0,50.0,0.20000000298023224
24,1.2707393169403076,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.7971290946006775,0.07318079471588135,0.03335099667310715,1.1135735511779785,0.08094155788421631,0.07935642451047897,16,42,1.9858627319335938,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.27488553524017334,0.03312211483716965,0.01165801752358675,0.7492871880531311,0.07013323903083801,0.05348200723528862,24,49,1.0586384534835815,24,49,0.6000000238418579,1.0,50.0,0.6000000238418579
25,0.48555007576942444,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.31290361285209656,0.02680259943008423,0.013054413720965385,0.4249996840953827,0.031019270420074463,0.03030145913362503,15,45,0.7659362554550171,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.11389903724193573,0.013263046741485596,0.004821376875042915,0.27808982133865356,0.024269312620162964,0.019821323454380035,22,49,0.40574419498443604,24,49,0.20000000298023224,1.0,50.0,0.20000000298023224
26,1.6429029703140259,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,1.0678648948669434,0.0948914885520935,0.044614650309085846,1.3978233337402344,0.10234427452087402,0.09960915893316269,16,40,2.5632407665252686,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.36045023798942566,0.04356766864657402,0.015289516188204288,0.8217366933822632,0.06763329356908798,0.058576710522174835,22,49,1.227096438407898,24,49,-0.800000011920929,-1.0,50.0,0.800000011920929
27,1.663909912109375,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,1.1371359825134277,0.09483146667480469,0.04738428443670273,1.3446383476257324,0.09888005256652832,0.09584548324346542,15,39,2.5782651901245117,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.39366284012794495,0.04585893079638481,0.016663845628499985,0.8356138467788696,0.0680619329214096,0.05958634614944458,21,49,1.2763848304748535,23,49,-0.800000011920929,-1.0,50.0,0.800000011920929
28,1.1950280666351318,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.7801049947738647,0.06786006689071655,0.03256361559033394,1.0169916152954102,0.073860764503479,0.07248909026384354,16,41,1.866830825805664,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.26418763399124146,0.032405976206064224,0.01121577899903059,0.617429792881012,0.05020318180322647,0.04398246109485626,22,49,0.9150543808937073,24,49,-0.6000000238418579,-1.0,50.0,0.6000000238418579
29,1.330195665359497,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.8705145716667175,0.07526922225952148,0.036328185349702835,1.1190333366394043,0.08134865760803223,0.07976056635379791,15,41,2.066652774810791,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.30551406741142273,0.03569615259766579,0.012934639118611813,0.7804011702537537,0.07210191339254379,0.05570750683546066,23,49,1.1229522228240967,23,49,0.6000000238418579,1.0,50.0,0.6000000238418579
30,0.9525167942047119,0.00041175284422934055,9.884405881166458e-05,4.611748590832576e-05,0.5961090326309204,0.05438143014907837,0.024934206157922745,0.840667188167572,0.061076581478118896,0.059921812266111374,16,43,1.492813229560852,2.1294341422617435e-05,6.541376933455467e-06,2.4565028979850467e-06,0.20532307028770447,0.025221005082130432,0.008717496879398823,0.5570864677429199,0.050658270716667175,0.03973430395126343,24,49,0.7886474132537842,24,49,0.4000000059604645,1.0,50.0,0.4000000059604645
