feature,raw_corr,raw_p,partial_corr,partial_p
m_onset,-0.3569,0.0,-0.4928,0.0
response_m_auc,0.0207,0.742179,-0.35,0.0
stimulus_d_auc,0.6188,0.0,0.333,0.0
response_m_peak,-0.0077,0.902201,-0.3235,0.0
m_peak_time,-0.3083,0.0,-0.315,0.0
cue_d_auc,0.0891,0.155017,0.3006,1e-06
cue_d_peak,0.0891,0.155017,0.3006,1e-06
cue_m_auc,0.0891,0.155017,0.3006,1e-06
cue_m_peak,0.0891,0.155017,0.3006,1e-06
delay_m_peak,0.225,0.000285,-0.2719,1e-05
stimulus_d_peak,0.6925,0.0,0.2688,1.3e-05
d_onset,0.0488,0.437027,-0.2601,2.5e-05
delay_d_auc,0.7144,0.0,0.2419,9.3e-05
response_d_peak,0.5507,0.0,0.2038,0.001041
stimulus_m_auc,0.359,0.0,0.2018,0.001166
q_peak_time,0.3538,0.0,0.2014,0.001194
response_d_auc,0.5249,0.0,0.1981,0.001441
delay_d_peak,0.6612,0.0,0.1928,0.001944
delay_m_auc,0.3225,0.0,-0.156,0.012476
stimulus_m_peak,0.4447,0.0,0.1426,0.02249
d_peak_time,-0.2249,0.000286,-0.0281,0.654386
q_onset,0.5874,0.0,-0.0266,0.672151
