trial_id,context,coh1,coh2,relevant_coh,irrelevant_coh,label,difficulty,final_q_coupled,final_q_decoupled
0,1,-0.3,-0.7,-0.7,-0.3,-1.0,0.7,-1.284877,-0.018505055
1,0,0.15,-0.7,0.15,-0.7,1.0,0.15,0.43608347,-0.030114219
2,1,-0.15,-0.7,-0.7,-0.15,-1.0,0.7,-1.3266928,-0.018505055
3,0,-0.3,0.7,-0.3,0.7,-1.0,0.3,-0.7094072,-0.030114219
4,1,-0.5,-0.15,-0.15,-0.5,-1.0,0.15,-0.09504171,-0.018505055
5,0,-0.15,-0.7,-0.15,-0.7,-1.0,0.15,-0.22282228,-0.030114219
6,1,-0.3,0.3,0.3,-0.3,1.0,0.3,0.85201615,-0.018505055
7,1,-0.15,-0.5,-0.5,-0.15,-1.0,0.5,-1.0304499,-0.018505055
8,1,0.7,-0.3,-0.3,0.7,-1.0,0.3,-0.47371936,-0.018505055
9,1,0.5,-0.3,-0.3,0.5,-1.0,0.3,-0.43061236,-0.018505055
10,0,-0.15,0.7,-0.15,0.7,-1.0,0.15,-0.4730472,-0.030114219
11,0,-0.5,-0.3,-0.5,-0.3,-1.0,0.5,-1.1013889,-0.030114219
12,1,0.3,0.5,0.5,0.3,1.0,0.5,1.2277476,-0.018505055
13,1,0.15,-0.5,-0.5,0.15,-1.0,0.5,-0.7837281,-0.018505055
14,0,0.5,-0.3,0.5,-0.3,1.0,0.5,1.1482542,-0.030114219
15,1,0.5,-0.3,-0.3,0.5,-1.0,0.3,-0.4354333,-0.018505055
16,1,-0.5,0.5,0.5,-0.5,1.0,0.5,0.95415455,-0.018505055
17,1,-0.5,0.15,0.15,-0.5,1.0,0.15,0.38858283,-0.018505055
18,1,0.5,-0.3,-0.3,0.5,-1.0,0.3,-0.34371436,-0.018505055
19,0,0.15,-0.3,0.15,-0.3,1.0,0.15,0.68129444,-0.030114219
20,0,-0.5,0.5,-0.5,0.5,-1.0,0.5,-1.0482607,-0.030114219
21,0,-0.3,-0.5,-0.3,-0.5,-1.0,0.3,-0.59617305,-0.030114219
22,0,0.5,-0.3,0.5,-0.3,1.0,0.5,1.275933,-0.030114219
23,1,0.15,0.7,0.7,0.15,1.0,0.7,1.3893646,-0.018505055
24,0,0.7,0.15,0.7,0.15,1.0,0.7,1.7498368,-0.030114219
25,0,-0.15,-0.15,-0.15,-0.15,-1.0,0.15,-0.10901867,-0.030114219
26,1,-0.7,-0.3,-0.3,-0.7,-1.0,0.3,-0.38477504,-0.018505055
27,1,0.15,-0.7,-0.7,0.15,-1.0,0.7,-1.1889333,-0.018505055
28,0,-0.5,-0.5,-0.5,-0.5,-1.0,0.5,-1.275464,-0.030114219
29,0,-0.3,0.7,-0.3,0.7,-1.0,0.3,-0.6606786,-0.030114219
30,0,0.7,0.3,0.7,0.3,1.0,0.7,1.8060714,-0.030114219
31,0,0.7,0.15,0.7,0.15,1.0,0.7,1.7466882,-0.030114219
32,1,-0.7,-0.7,-0.7,-0.7,-1.0,0.7,-1.1773291,-0.018505055
33,0,0.7,0.15,0.7,0.15,1.0,0.7,1.8027073,-0.030114219
34,1,0.3,0.7,0.7,0.3,1.0,0.7,1.5193617,-0.018505055
35,0,0.15,-0.7,0.15,-0.7,1.0,0.15,0.47443336,-0.030114219
36,0,-0.15,-0.3,-0.15,-0.3,-1.0,0.15,-0.5313497,-0.030114219
37,1,-0.7,-0.7,-0.7,-0.7,-1.0,0.7,-1.3113533,-0.018505055
38,1,0.7,0.15,0.15,0.7,1.0,0.15,0.39805982,-0.018505055
39,1,-0.5,-0.15,-0.15,-0.5,-1.0,0.15,-0.1203879,-0.018505055
40,1,-0.3,-0.15,-0.15,-0.3,-1.0,0.15,0.014892571,-0.018505055
