feature,raw_corr,raw_p,partial_corr,partial_p
delay_d_peak,0.9987,0.0,0.9784,0.0
delay_m_auc,0.9985,0.0,0.9748,0.0
delay_m_peak,0.9982,0.0,0.9717,0.0
response_d_peak,0.9976,0.0,0.9604,0.0
delay_d_auc,0.9972,0.0,0.9536,0.0
response_d_auc,0.9938,0.0,0.9049,0.0
stimulus_m_peak,0.9906,0.0,0.8644,0.0
stimulus_m_auc,0.9799,0.0,0.7754,0.0
response_m_peak,0.9504,0.0,0.7107,0.0
stimulus_d_peak,0.9549,0.0,0.6251,0.0
stimulus_d_auc,0.9396,0.0,0.5923,0.0
response_m_auc,0.7823,0.0,0.4542,0.0
q_peak_time,0.5502,0.0,0.4386,0.0
d_peak_time,-0.5335,0.0,-0.3699,0.0
d_onset,-0.3183,0.0,-0.2115,0.000659
m_onset,-0.4816,0.0,-0.2029,0.001096
m_peak_time,-0.0773,0.217625,0.1335,0.032699
q_onset,-0.1084,0.083514,0.0391,0.533355
