step,loss,accuracy,task_loss,activity_reg,weight_reg,communication_reg
1,0.9814711809158325,0.453125,0.981468677520752,2.263652049805387e-06,2.2360005402788374e-07,0.0
2,0.8943458199501038,0.671875,0.8943432569503784,2.3347533897322137e-06,2.2363296636740415e-07,0.0
3,0.7850469946861267,0.71875,0.7850444912910461,2.252757212772849e-06,2.2370916497038706e-07,0.0
4,0.7241782546043396,0.703125,0.7241758108139038,2.2195442852535052e-06,2.2379822439688724e-07,0.0
5,0.6139402389526367,0.78125,0.6139373779296875,2.645435870363144e-06,2.239091543287941e-07,0.0
6,0.40944597125053406,0.875,0.4094425439834595,3.19061132358911e-06,2.2404856281355023e-07,0.0
7,0.49090585112571716,0.859375,0.4909023344516754,3.2672292036295403e-06,2.2420778122977936e-07,0.0
8,0.5135224461555481,0.90625,0.5135186910629272,3.5312864383740816e-06,2.24330548803664e-07,0.0
9,0.4086017608642578,0.953125,0.40859758853912354,3.939619546144968e-06,2.2442567626512755e-07,0.0
10,0.4355972409248352,0.9375,0.4355925917625427,4.424410235515097e-06,2.244465662215589e-07,0.0
11,0.6012617349624634,0.875,0.6012575626373291,3.917300091416109e-06,2.2441649605298153e-07,0.0
12,0.7475837469100952,0.828125,0.7475792169570923,4.2780384319485165e-06,2.2436418589677487e-07,0.0
13,0.5979117155075073,0.8125,0.5979074835777283,3.972488229919691e-06,2.2429058788020484e-07,0.0
14,0.44865739345550537,0.921875,0.44865360856056213,3.5386262879910646e-06,2.241908987343777e-07,0.0
15,0.41974595189094543,0.921875,0.4197423458099365,3.36942184731015e-06,2.240710585965644e-07,0.0
16,0.4702039659023285,0.921875,0.47020041942596436,3.296897375548724e-06,2.23963098733293e-07,0.0
17,0.5340522527694702,0.8125,0.5340489745140076,3.0339215300045907e-06,2.2386309694866213e-07,0.0
18,0.44768500328063965,0.890625,0.4476817846298218,2.9815159905410837e-06,2.2378075925644225e-07,0.0
19,0.4413706660270691,0.875,0.441366970539093,3.4520908229751512e-06,2.2372567798356613e-07,0.0
20,0.48432740569114685,0.828125,0.48432397842407227,3.1780264180270024e-06,2.2368259067206964e-07,0.0
21,0.5875442624092102,0.796875,0.5875409245491028,3.1096685688680736e-06,2.2365250629263755e-07,0.0
22,0.5956922769546509,0.875,0.5956893563270569,2.6744901333586313e-06,2.2363089158261573e-07,0.0
23,0.44550952315330505,0.9375,0.44550594687461853,3.3323394745821133e-06,2.2362270613029978e-07,0.0
24,0.40557661652565,0.953125,0.40557318925857544,3.1906977255857782e-06,2.236265572719276e-07,0.0
25,0.4971994161605835,0.890625,0.49719589948654175,3.277892574260477e-06,2.2364370977356884e-07,0.0
26,0.4189883768558502,0.875,0.41898447275161743,3.659531103039626e-06,2.2366921825778263e-07,0.0
27,0.293152779340744,0.984375,0.29314857721328735,3.958765773859341e-06,2.237001268667882e-07,0.0
28,0.47954145073890686,0.859375,0.47953760623931885,3.5946200114267413e-06,2.2373045283075044e-07,0.0
29,0.48965805768966675,0.875,0.4896540939807892,3.7170134419284295e-06,2.2376283936864638e-07,0.0
30,0.5506395101547241,0.8125,0.5506353974342346,3.871135504596168e-06,2.237925826875653e-07,0.0
31,0.5575522780418396,0.8125,0.5575476884841919,4.32450178777799e-06,2.2380693565082765e-07,0.0
32,0.4824197292327881,0.859375,0.4824158549308777,3.6304252262198133e-06,2.2379488484602916e-07,0.0
33,0.5740166902542114,0.875,0.5740127563476562,3.7157653878239216e-06,2.237808871541347e-07,0.0
34,0.43289440870285034,0.90625,0.43288981914520264,4.361478659120621e-06,2.2375508024197188e-07,0.0
35,0.3645951449871063,0.921875,0.36459070444107056,4.187969807389891e-06,2.237265022131396e-07,0.0
36,0.48483651876449585,0.90625,0.4848325550556183,3.7143356621527346e-06,2.2370298324858595e-07,0.0
37,0.5333492755889893,0.796875,0.5333449244499207,4.0945747059595305e-06,2.2368847396592173e-07,0.0
38,0.39387691020965576,0.90625,0.39387258887290955,4.071705006936099e-06,2.236746183825744e-07,0.0
39,0.42632701992988586,0.875,0.42632246017456055,4.309249561629258e-06,2.2368374175130157e-07,0.0
40,0.4434049725532532,0.875,0.4434012174606323,3.5259249671071302e-06,2.2370005581251462e-07,0.0
41,0.4340091645717621,0.90625,0.43400490283966064,4.031176558783045e-06,2.2373113495177677e-07,0.0
42,0.40408509969711304,0.921875,0.40407997369766235,4.890616764896549e-06,2.2378578989901143e-07,0.0
43,0.5561050176620483,0.859375,0.5561004877090454,4.315508704166859e-06,2.2385599152130453e-07,0.0
44,0.3379635512828827,0.953125,0.3379579484462738,5.37673167855246e-06,2.239345775478796e-07,0.0
45,0.4285937547683716,0.921875,0.42858830094337463,5.212950782151893e-06,2.2402109323138575e-07,0.0
46,0.3944597840309143,0.90625,0.3944529891014099,6.5437507146270946e-06,2.2411151689993858e-07,0.0
47,0.4027937650680542,0.890625,0.4027876853942871,5.847499323863303e-06,2.2420232426156872e-07,0.0
48,0.35782590508461,0.921875,0.35781922936439514,6.431821020669304e-06,2.243149594960414e-07,0.0
49,0.41204795241355896,0.859375,0.4120403528213501,7.347769951593364e-06,2.2444736202942295e-07,0.0
50,0.3882075548171997,0.9375,0.38820046186447144,6.868718173791422e-06,2.245866141947772e-07,0.0
51,0.3463783264160156,0.921875,0.34636998176574707,8.093543328868691e-06,2.2473342653483996e-07,0.0
52,0.3358941674232483,0.9375,0.33588555455207825,8.366225301870145e-06,2.2490613105219381e-07,0.0
53,0.2807888984680176,0.953125,0.2807793617248535,9.308330845669843e-06,2.2507664709792152e-07,0.0
54,0.22448039054870605,0.96875,0.2244706153869629,9.555035830999259e-06,2.2527048315623688e-07,0.0
55,0.26727956533432007,0.921875,0.26726797223091125,1.1341930985508952e-05,2.254760715914017e-07,0.0
56,0.4482094645500183,0.8125,0.4481983780860901,1.0860372640308924e-05,2.2567631674519362e-07,0.0
57,0.36187756061553955,0.875,0.36186498403549194,1.2328654520388227e-05,2.2587198600376723e-07,0.0
58,0.24009919166564941,0.953125,0.2400863766670227,1.2588001482072286e-05,2.260683658050766e-07,0.0
59,0.20670092105865479,0.953125,0.20668527483940125,1.5422261640196666e-05,2.262496963112426e-07,0.0
60,0.2267649620771408,0.9375,0.22675134241580963,1.3399391718849074e-05,2.2642986152732192e-07,0.0
61,0.29202115535736084,0.9375,0.29200589656829834,1.5030832400952931e-05,2.2662537446649367e-07,0.0
62,0.2425713837146759,0.96875,0.2425563931465149,1.4768020264455117e-05,2.2682456801703665e-07,0.0
63,0.1598234623670578,1.0,0.15980657935142517,1.6666032024659216e-05,2.2701658508594846e-07,0.0
64,0.1858685463666916,0.984375,0.18585136532783508,1.6963242160272785e-05,2.2720165304690454e-07,0.0
65,0.12940135598182678,1.0,0.12938213348388672,1.9001456166733988e-05,2.2738861105153774e-07,0.0
66,0.1922270655632019,0.984375,0.19220903515815735,1.7802216461859643e-05,2.2755008899366658e-07,0.0
67,0.16697737574577332,1.0,0.16695699095726013,2.0161067368462682e-05,2.2770394991766807e-07,0.0
68,0.19000612199306488,0.984375,0.18998593091964722,1.9962768419645727e-05,2.278376598496834e-07,0.0
69,0.10841811448335648,1.0,0.10839666426181793,2.1221054339548573e-05,2.2795433096689521e-07,0.0
70,0.1741293966770172,1.0,0.17410777509212494,2.1391681002569385e-05,2.2804098875894852e-07,0.0
71,0.23891842365264893,0.9375,0.2388957440853119,2.244971619802527e-05,2.2812339750544197e-07,0.0
72,0.199990913271904,0.96875,0.19996929168701172,2.1393198039731942e-05,2.2820688627689378e-07,0.0
