experiment,task,model,seed,batch_idx,trial_idx,E_max,E_mean,E_auc,D_max,D_mean,D_auc,M_max,M_mean,M_auc,divergence_time
binary__gated__seed3,BinaryCategorizationTask,TwoRegionGatedRNN,3,0,0,1.0602810382843018,0.5668667554855347,27.824020385742188,0.08634501695632935,0.02441483922302723,1.2075072526931763,1.7584595680236816,0.5117943286895752,24.710485458374023,17
binary__gated__seed3,BinaryCategorizationTask,TwoRegionGatedRNN,3,0,1,1.0404479503631592,0.5244113802909851,25.704486846923828,0.07468652725219727,0.022371966391801834,1.1054505109786987,1.6706582307815552,0.4250851571559906,20.418930053710938,18
binary__gated__seed3,BinaryCategorizationTask,TwoRegionGatedRNN,3,0,2,1.0354336500167847,0.5670282244682312,27.854555130004883,0.08258306980133057,0.022557877004146576,1.1195521354675293,1.5570430755615234,0.47724413871765137,23.08368682861328,16
binary__gated__seed3,BinaryCategorizationTask,TwoRegionGatedRNN,3,0,3,1.0023469924926758,0.4921693503856659,24.116519927978516,0.062110066413879395,0.019031865522265434,0.9444464445114136,1.417999029159546,0.32901903986930847,15.741950988769531,18
binary__gated__seed3,BinaryCategorizationTask,TwoRegionGatedRNN,3,0,4,1.0203880071640015,0.5418693423271179,26.598936080932617,0.07457256317138672,0.021478476002812386,1.065615177154541,1.5222761631011963,0.43047672510147095,20.762697219848633,17
binary__gated__seed3,BinaryCategorizationTask,TwoRegionGatedRNN,3,0,5,1.0704669952392578,0.5926320552825928,29.11203956604004,0.09214156866073608,0.025612661615014076,1.267418384552002,1.80216383934021,0.567602813243866,27.47905731201172,16
binary__gated__seed3,BinaryCategorizationTask,TwoRegionGatedRNN,3,0,6,1.0338996648788452,0.5809345841407776,28.547412872314453,0.08168786764144897,0.022808151319622993,1.1319468021392822,1.567322015762329,0.49735817313194275,24.084245681762695,16
binary__gated__seed3,BinaryCategorizationTask,TwoRegionGatedRNN,3,0,7,1.0237773656845093,0.5508273839950562,27.045726776123047,0.07637113332748413,0.02182389423251152,1.0827574729919434,1.5330851078033447,0.44628453254699707,21.547679901123047,17
binary__gated__seed3,BinaryCategorizationTask,TwoRegionGatedRNN,3,0,8,1.0190428495407104,0.559505820274353,27.47814178466797,0.07541036605834961,0.021968672052025795,1.0899959802627563,1.5429496765136719,0.45950478315353394,22.203763961791992,16
binary__gated__seed3,BinaryCategorizationTask,TwoRegionGatedRNN,3,0,9,1.0229767560958862,0.5738180875778198,28.19179344177246,0.07981449365615845,0.0225733183324337,1.1200321912765503,1.5578224658966064,0.4863600432872772,23.539093017578125,16
binary__gated__seed3,BinaryCategorizationTask,TwoRegionGatedRNN,3,0,10,1.0695676803588867,0.5886660218238831,28.914037704467773,0.09134596586227417,0.025357279926538467,1.254589557647705,1.7936668395996094,0.5583133101463318,27.018831253051758,16
binary__gated__seed3,BinaryCategorizationTask,TwoRegionGatedRNN,3,0,11,1.0395586490631104,0.5821772813796997,28.609920501708984,0.0848233699798584,0.02302580140531063,1.1428797245025635,1.571241021156311,0.5025866031646729,24.343706130981445,16
binary__gated__seed3,BinaryCategorizationTask,TwoRegionGatedRNN,3,0,12,1.0469921827316284,0.5109574794769287,25.030916213989258,0.07088601589202881,0.0218400526791811,1.0793614387512207,1.6379272937774658,0.3919096887111664,18.776517868041992,19
