experiment,task,model,seed,batch_idx,trial_idx,E_max,E_mean,E_auc,D_max,D_mean,D_auc,M_max,M_mean,M_auc,divergence_time
context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,2,0,0,1.2500059604644775,0.5445351004600525,30.99515151977539,0.07064521312713623,0.024238094687461853,1.4054192304611206,0.18571481108665466,0.05875125154852867,3.386080741882324,24
context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,2,0,1,1.0736117362976074,0.5487253069877625,31.519054412841797,0.030081450939178467,0.011956780217587948,0.6919708251953125,0.1500760167837143,0.05014631152153015,2.8603804111480713,16
context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,2,0,2,0.687543511390686,0.21448612213134766,12.11971664428711,0.011938221752643585,0.0052087572403252125,0.2982325255870819,0.13662922382354736,0.05655613914132118,3.2272286415100098,36
context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,2,0,3,0.7557551264762878,0.27863603830337524,15.813124656677246,0.03861427307128906,0.01879691332578659,1.0872430801391602,0.4007350206375122,0.1280221939086914,7.424160957336426,32
context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,2,0,4,1.054726481437683,0.5489077568054199,31.523685455322266,0.029082059860229492,0.011558731086552143,0.6678078174591064,0.17919908463954926,0.0567268431186676,3.2703053951263428,16
context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,2,0,5,1.1469767093658447,0.6305407881736755,36.27439498901367,0.04950588941574097,0.0139614287763834,0.8089323043823242,0.15622489154338837,0.05694686993956566,3.224806070327759,14
context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,2,0,6,0.8032560348510742,0.4165474474430084,23.758119583129883,0.04708564281463623,0.02210635505616665,1.2777775526046753,0.5023160576820374,0.234833762049675,13.394331932067871,12
context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,2,0,7,0.7081917524337769,0.16302907466888428,9.10158920288086,0.029980361461639404,0.01683015003800392,0.9641084671020508,0.775648832321167,0.12914955615997314,7.102849960327148,42
context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,2,0,8,1.0332273244857788,0.4852811098098755,27.820415496826172,0.02114558219909668,0.007121887058019638,0.40860453248023987,0.3379709720611572,0.11964163929224014,6.786606311798096,22
context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,2,0,9,1.1750514507293701,0.6093650460243225,35.032936096191406,0.04399758577346802,0.014079832471907139,0.8145564198493958,0.3455955386161804,0.13055971264839172,7.399665355682373,16
context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,2,0,10,0.807652473449707,0.47512489557266235,27.15340805053711,0.057462334632873535,0.01710151508450508,0.9914370775222778,0.5437157154083252,0.265556275844574,15.261521339416504,13
context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,2,0,11,0.7741098403930664,0.42545998096466064,24.292062759399414,0.05965155363082886,0.020081238821148872,1.160108208656311,0.6391322612762451,0.29392126202583313,16.852527618408203,14
context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,2,0,12,0.8573640584945679,0.29266104102134705,16.54566192626953,0.05395102500915527,0.023942239582538605,1.3790833950042725,0.6202498078346252,0.2560388743877411,14.550880432128906,12
context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,2,0,13,1.0998598337173462,0.5646587014198303,32.440773010253906,0.03269624710083008,0.012030094861984253,0.6969371438026428,0.16013555228710175,0.04792562127113342,2.6996185779571533,16
context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,2,0,14,0.8872679471969604,0.2793518304824829,15.758772850036621,0.06016784906387329,0.02808280847966671,1.614755392074585,0.778364896774292,0.3591404855251312,20.508291244506836,34
context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,2,0,15,0.7919720411300659,0.442366361618042,25.261259078979492,0.05233454704284668,0.020781734958291054,1.2053205966949463,0.5665467381477356,0.2623055875301361,14.992215156555176,12
context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,2,0,16,1.0186212062835693,0.46493813395500183,26.635217666625977,0.015363156795501709,0.006932712625712156,0.396767258644104,0.3276112973690033,0.09956680238246918,5.611067295074463,23
context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,2,0,17,0.8405331373214722,0.33065909147262573,18.75796127319336,0.053852856159210205,0.02390919253230095,1.380577564239502,0.6015624403953552,0.26389598846435547,15.029829978942871,12
context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,2,0,18,0.8327385187149048,0.34477922320365906,19.58082389831543,0.0514296293258667,0.023557128384709358,1.3605096340179443,0.5778552889823914,0.25659769773483276,14.616767883300781,12
context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,2,0,19,1.2427024841308594,0.7184253334999084,41.093074798583984,0.09492573142051697,0.033750686794519424,1.9488091468811035,0.45738375186920166,0.20332349836826324,11.731954574584961,20
context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,2,0,20,1.3211803436279297,0.6979877948760986,39.82269287109375,0.0670275092124939,0.02095736749470234,1.2108197212219238,0.4387671947479248,0.0843648761510849,4.673778533935547,16
context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,2,0,21,1.3177810907363892,0.6830428838729858,38.957603454589844,0.06657654047012329,0.021007761359214783,1.2136101722717285,0.42976635694503784,0.07809930294752121,4.314876556396484,17
context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,2,0,22,1.254860520362854,0.6968284249305725,39.824012756347656,0.08780184388160706,0.032729700207710266,1.8894853591918945,0.2399422973394394,0.10637917369604111,6.14995813369751,20
