step,loss,accuracy,task_loss,activity_reg,weight_reg,communication_reg
1,1.0317145586013794,0.421875,1.0317118167877197,2.6166792395088123e-06,1.602970343128618e-07,0.0
2,0.8918032646179199,0.71875,0.8918007612228394,2.341428626095876e-06,1.6030915617193386e-07,0.0
3,0.7837530374526978,0.828125,0.7837505340576172,2.3401339603879023e-06,1.6032689131861844e-07,0.0
4,0.7264826893806458,0.734375,0.7264800667762756,2.44304374064086e-06,1.603804093974759e-07,0.0
5,0.6341164112091064,0.765625,0.6341135501861572,2.695372359085013e-06,1.6047067674662685e-07,0.0
6,0.6220654249191284,0.828125,0.6220628023147583,2.4637545266159577e-06,1.6057265384006314e-07,0.0
7,0.5237455368041992,0.78125,0.5237425565719604,2.784133357636165e-06,1.6067144770204322e-07,0.0
8,0.3802259862422943,0.90625,0.3802231550216675,2.6853322196984664e-06,1.6076522513230884e-07,0.0
9,0.6137087345123291,0.75,0.613705575466156,2.965989551739767e-06,1.6087787457763625e-07,0.0
10,0.7151972651481628,0.75,0.715194046497345,3.055387651329511e-06,1.60929232606577e-07,0.0
11,0.6683608293533325,0.71875,0.6683576107025146,3.024344096047571e-06,1.6093201793410117e-07,0.0
12,0.7167404294013977,0.765625,0.7167371511459351,3.1151453185884748e-06,1.6089583709799626e-07,0.0
13,0.7800037264823914,0.703125,0.7800003886222839,3.1695149118604604e-06,1.608249249329674e-07,0.0
14,0.6856935024261475,0.75,0.6856903433799744,2.9544448807428125e-06,1.6073083486389805e-07,0.0
15,0.6910580992698669,0.703125,0.6910549402236938,2.995785962411901e-06,1.606115063168545e-07,0.0
16,0.44835418462753296,0.84375,0.44835129380226135,2.7507867343956605e-06,1.6047863482526736e-07,0.0
17,0.6742540001869202,0.703125,0.6742509603500366,2.861136863430147e-06,1.6036037209232745e-07,0.0
18,0.6253252029418945,0.75,0.6253224611282349,2.5832205210463144e-06,1.6025164484290144e-07,0.0
19,0.5327727794647217,0.8125,0.5327699780464172,2.6004656774603063e-06,1.6016338122426532e-07,0.0
20,0.6030219197273254,0.765625,0.603019118309021,2.6078287191921845e-06,1.600987644678753e-07,0.0
21,0.5468527674674988,0.8125,0.5468500256538391,2.542010179240606e-06,1.6006599423690204e-07,0.0
22,0.6181219220161438,0.796875,0.6181187629699707,2.992962890857598e-06,1.6005559189125051e-07,0.0
23,0.684021532535553,0.75,0.6840184926986694,2.867704097297974e-06,1.6006021041903296e-07,0.0
24,0.638871967792511,0.734375,0.6388688683509827,2.9300747428351315e-06,1.600714796268221e-07,0.0
25,0.5774109363555908,0.78125,0.5774081945419312,2.5734516384545714e-06,1.6008972636427643e-07,0.0
26,0.6468605399131775,0.734375,0.646857500076294,2.8326942356216023e-06,1.6012808146115276e-07,0.0
27,0.5803760290145874,0.765625,0.58037269115448,3.1686151942267315e-06,1.6016910819871555e-07,0.0
28,0.5962610840797424,0.765625,0.5962576270103455,3.2801510769786546e-06,1.6021643034491717e-07,0.0
29,0.5639254450798035,0.796875,0.5639221668243408,3.0955827696743654e-06,1.6026223192966427e-07,0.0
30,0.6065596342086792,0.765625,0.6065565347671509,2.9058196560072247e-06,1.6032197436288698e-07,0.0
31,0.6607236862182617,0.703125,0.6607203483581543,3.1441604733117856e-06,1.6041026640323253e-07,0.0
32,0.6225414276123047,0.84375,0.6225380301475525,3.192926442352473e-06,1.6050351803187368e-07,0.0
33,0.565277099609375,0.796875,0.5652734041213989,3.5177331483282614e-06,1.6060351981650456e-07,0.0
34,0.5886445045471191,0.78125,0.5886410474777222,3.2523762456548866e-06,1.6070660535660863e-07,0.0
35,0.5467581748962402,0.78125,0.5467543005943298,3.6998897030571243e-06,1.6080223019798723e-07,0.0
36,0.5831213593482971,0.8125,0.5831174850463867,3.6921016999258427e-06,1.6090983478989074e-07,0.0
37,0.5247464179992676,0.796875,0.5247425436973572,3.6840624488831963e-06,1.6102924860206258e-07,0.0
38,0.6107921004295349,0.765625,0.6107879877090454,3.9197188925754745e-06,1.6114874767936271e-07,0.0
39,0.5280816555023193,0.84375,0.5280771255493164,4.349743448983645e-06,1.6126496404922364e-07,0.0
40,0.5394940972328186,0.8125,0.5394900441169739,3.892760560120223e-06,1.6137923353198858e-07,0.0
41,0.5903704762458801,0.78125,0.5903659462928772,4.326185262470972e-06,1.6150103476775257e-07,0.0
42,0.4239928126335144,0.8125,0.4239884614944458,4.204669494356494e-06,1.616187574882133e-07,0.0
43,0.543599009513855,0.75,0.5435936450958252,5.194526238483377e-06,1.617498242012516e-07,0.0
44,0.5382363200187683,0.796875,0.5382311344146729,4.9811924327514134e-06,1.6188539575523464e-07,0.0
