experiment,task,model,seed,batch_idx,trial_idx,E_max,E_mean,E_auc,D_max,D_mean,D_auc,M_max,M_mean,M_auc,divergence_time
context__gated__seed3,ContextDependentDecisionTask,TwoRegionGatedRNN,3,0,0,1.1635266542434692,0.5784315466880798,32.96903610229492,0.11588537693023682,0.048248663544654846,2.786820650100708,0.7624172568321228,0.3679746091365814,21.105318069458008,23
context__gated__seed3,ContextDependentDecisionTask,TwoRegionGatedRNN,3,0,1,1.000699758529663,0.5550466775894165,31.692354202270508,0.12068367004394531,0.0471653938293457,2.7238118648529053,0.664405345916748,0.3115695118904114,17.921573638916016,21
context__gated__seed3,ContextDependentDecisionTask,TwoRegionGatedRNN,3,0,2,1.1117992401123047,0.6059907078742981,34.5915641784668,0.1248367428779602,0.04647648707032204,2.6860122680664062,0.6989995241165161,0.3194846510887146,18.376312255859375,21
context__gated__seed3,ContextDependentDecisionTask,TwoRegionGatedRNN,3,0,3,0.919015645980835,0.405391663312912,23.074020385742188,0.053805410861968994,0.02540905959904194,1.4609029293060303,0.49024680256843567,0.1929413229227066,10.952123641967773,25
context__gated__seed3,ContextDependentDecisionTask,TwoRegionGatedRNN,3,0,4,1.258653163909912,0.6865234971046448,39.19831085205078,0.06987833976745605,0.02431689016520977,1.4015190601348877,0.5903195142745972,0.1511998176574707,8.4744291305542,19
context__gated__seed3,ContextDependentDecisionTask,TwoRegionGatedRNN,3,0,5,1.0903772115707397,0.5432054996490479,30.961288452148438,0.11729025840759277,0.05263934284448624,3.0385735034942627,0.8081826567649841,0.404374361038208,23.172842025756836,23
context__gated__seed3,ContextDependentDecisionTask,TwoRegionGatedRNN,3,0,6,1.1321420669555664,0.6012148261070251,34.30717849731445,0.12836194038391113,0.04885861650109291,2.8228402137756348,0.7470991611480713,0.35191628336906433,20.21858787536621,22
context__gated__seed3,ContextDependentDecisionTask,TwoRegionGatedRNN,3,0,7,0.9036734104156494,0.4668640196323395,26.70272445678711,0.045799314975738525,0.01632148027420044,0.9409989714622498,0.29375678300857544,0.08997546881437302,5.1095991134643555,20
context__gated__seed3,ContextDependentDecisionTask,TwoRegionGatedRNN,3,0,8,0.900605320930481,0.4845528304576874,27.692401885986328,0.023209989070892334,0.008164691738784313,0.4725484848022461,0.3821859657764435,0.15873754024505615,9.079704284667969,15
context__gated__seed3,ContextDependentDecisionTask,TwoRegionGatedRNN,3,0,9,0.9258607625961304,0.5014562010765076,28.685976028442383,0.04260969161987305,0.011805008165538311,0.6840261220932007,0.2708508372306824,0.09589339792728424,5.550602436065674,18
