experiment,task,model,seed,batch_idx,trial_idx,E_max,E_mean,E_auc,D_max,D_mean,D_auc,M_max,M_mean,M_auc,divergence_time
delayed__additive__seed1,DelayedCategorizationTask,TwoRegionAdditiveRNN,1,0,0,0.9906244277954102,0.47224244475364685,30.213245391845703,0.031909942626953125,0.014651082456111908,0.9364938139915466,0.760526716709137,0.15726014971733093,9.841646194458008,24
delayed__additive__seed1,DelayedCategorizationTask,TwoRegionAdditiveRNN,1,0,1,1.0437071323394775,0.583820104598999,37.426448822021484,0.048429638147354126,0.019403258338570595,1.2457033395767212,0.8877792954444885,0.2555668354034424,16.167953491210938,21
delayed__additive__seed1,DelayedCategorizationTask,TwoRegionAdditiveRNN,1,0,2,1.0380747318267822,0.3811141550540924,24.25338363647461,0.029401004314422607,0.010921887122094631,0.6979525089263916,0.5887851119041443,0.08201087266206741,5.036314010620117,31
delayed__additive__seed1,DelayedCategorizationTask,TwoRegionAdditiveRNN,1,0,3,0.9931951761245728,0.513045072555542,32.86506652832031,0.04281353950500488,0.017618931829929352,1.1282191276550293,0.8285225629806519,0.20908623933792114,13.176342964172363,23
delayed__additive__seed1,DelayedCategorizationTask,TwoRegionAdditiveRNN,1,0,4,1.0029394626617432,0.5734331011772156,36.786163330078125,0.048265695571899414,0.0201207734644413,1.2902008295059204,0.8526725172996521,0.25840625166893005,16.37006950378418,20
delayed__additive__seed1,DelayedCategorizationTask,TwoRegionAdditiveRNN,1,0,5,1.040284514427185,0.5656505227088928,36.24715042114258,0.0479048490524292,0.018811943009495735,1.2073646783828735,0.8821712136268616,0.24247238039970398,15.319620132446289,22
delayed__additive__seed1,DelayedCategorizationTask,TwoRegionAdditiveRNN,1,0,6,1.0316940546035767,0.51921147108078,33.234275817871094,0.039581894874572754,0.016570942476391792,1.061850905418396,0.872020959854126,0.2039995789527893,12.82396125793457,24
delayed__additive__seed1,DelayedCategorizationTask,TwoRegionAdditiveRNN,1,0,7,1.0039310455322266,0.5717222094535828,36.67481231689453,0.050064146518707275,0.020221775397658348,1.2968268394470215,0.8467570543289185,0.256440669298172,16.245269775390625,21
delayed__additive__seed1,DelayedCategorizationTask,TwoRegionAdditiveRNN,1,0,8,1.0063512325286865,0.5799522399902344,37.208858489990234,0.051157236099243164,0.02041950449347496,1.3097648620605469,0.8394760489463806,0.259095698595047,16.42148208618164,20
delayed__additive__seed1,DelayedCategorizationTask,TwoRegionAdditiveRNN,1,0,9,1.0269136428833008,0.45244428515434265,28.895418167114258,0.03208059072494507,0.013324905186891556,0.8520663380622864,0.7577171325683594,0.13620775938034058,8.474645614624023,27
