step,loss,accuracy,task_loss,activity_reg,weight_reg,communication_reg
1,0.9894445538520813,0.65625,0.989443838596344,5.961691726952267e-07,1.326700100889866e-07,0.0
2,0.8113296627998352,0.921875,0.8113288879394531,6.850099225630402e-07,1.3266996745642246e-07,0.0
3,0.6117678284645081,0.9375,0.6117668151855469,8.927422072702029e-07,1.3270373244722578e-07,0.0
4,0.5645583868026733,0.875,0.5645574331283569,8.104329936031718e-07,1.327654501892539e-07,0.0
5,0.35917842388153076,1.0,0.35917729139328003,1.0022913556895219e-06,1.3284365252275165e-07,0.0
6,0.20332078635692596,1.0,0.2033192366361618,1.408890170750965e-06,1.3295104395183444e-07,0.0
7,0.2092403918504715,1.0,0.2092389613389969,1.3030124819124467e-06,1.3308363122632727e-07,0.0
8,0.17529959976673126,1.0,0.17529776692390442,1.6978283383650705e-06,1.3323993641733978e-07,0.0
9,0.21432700753211975,1.0,0.2143247127532959,2.1566268060269067e-06,1.3335706228190247e-07,0.0
10,0.1992107480764389,1.0,0.19920854270458221,2.0778725229320116e-06,1.3336402560071292e-07,0.0
11,0.22907868027687073,1.0,0.2290763258934021,2.218439703938202e-06,1.3329712089671375e-07,0.0
12,0.27573999762535095,1.0,0.2757377624511719,2.1282885427353904e-06,1.3318725677891052e-07,0.0
13,0.21121817827224731,1.0,0.21121588349342346,2.1563323571172077e-06,1.330384975517518e-07,0.0
14,0.19142962992191315,1.0,0.1914273351430893,2.167898855987005e-06,1.3285307431942783e-07,0.0
15,0.16058871150016785,1.0,0.16058632731437683,2.249332055725972e-06,1.3264843801152892e-07,0.0
16,0.14722467958927155,1.0,0.14722275733947754,1.7931920410774183e-06,1.324217180354026e-07,0.0
17,0.1544429212808609,1.0,0.15444138646125793,1.401745066686999e-06,1.322052298746712e-07,0.0
18,0.18110567331314087,1.0,0.18110422790050507,1.3119505410941201e-06,1.3203327853261726e-07,0.0
19,0.21377967298030853,1.0,0.21377839148044586,1.1527993137860904e-06,1.3190630454573693e-07,0.0
20,0.264486700296402,1.0,0.2644854187965393,1.1531139989529038e-06,1.318185951504347e-07,0.0
21,0.17239664494991302,1.0,0.17239506542682648,1.4382447943717125e-06,1.3176375546208874e-07,0.0
