step,loss,accuracy,task_loss,activity_reg,weight_reg,communication_reg
1,1.0151004791259766,0.484375,1.015099048614502,1.3393898825597716e-06,1.7062619406260637e-07,0.0
2,0.7224869132041931,1.0,0.7224854826927185,1.2363520909275394e-06,1.7063167945252644e-07,0.0
3,0.4565756320953369,1.0,0.4565739035606384,1.5527913319601794e-06,1.706945624846412e-07,0.0
4,0.2793402373790741,1.0,0.27933835983276367,1.6897781733860029e-06,1.7080250813705788e-07,0.0
5,0.1717669516801834,1.0,0.17176465690135956,2.1308801478880923e-06,1.70935180676679e-07,0.0
6,0.15978582203388214,1.0,0.15978308022022247,2.5757026378414594e-06,1.7108021665990236e-07,0.0
7,0.2279316782951355,1.0,0.22792883217334747,2.6789537059812574e-06,1.7108621364059218e-07,0.0
8,0.19122451543807983,1.0,0.19122187793254852,2.4670596303622006e-06,1.709988310949484e-07,0.0
9,0.20937389135360718,1.0,0.20937083661556244,2.887380333049805e-06,1.7085311299069872e-07,0.0
10,0.17655953764915466,1.0,0.17655684053897858,2.5320000531792175e-06,1.70677807886932e-07,0.0
11,0.17615918815135956,1.0,0.17615623772144318,2.792585519273416e-06,1.704658103562906e-07,0.0
12,0.12449514120817184,1.0,0.12449288368225098,2.089280997097376e-06,1.7024645160290675e-07,0.0
13,0.133978471159935,1.0,0.13397647440433502,1.8374241790297674e-06,1.7005986308049614e-07,0.0
14,0.16432172060012817,1.0,0.16431960463523865,1.9536107629392063e-06,1.699328748827611e-07,0.0
15,0.20146210491657257,1.0,0.20146030187606812,1.6342287381121423e-06,1.6984130013497634e-07,0.0
16,0.2286400943994522,1.0,0.22863826155662537,1.673687052061723e-06,1.697835045888496e-07,0.0
17,0.22055600583553314,1.0,0.22055435180664062,1.4836450645816512e-06,1.6975268124497234e-07,0.0
18,0.16719995439052582,1.0,0.167198047041893,1.7360798665322363e-06,1.6975728556190006e-07,0.0
19,0.181732639670372,1.0,0.18173032999038696,2.1393805127445376e-06,1.6976851213712507e-07,0.0
20,0.17958731949329376,1.0,0.17958484590053558,2.3123586743167834e-06,1.6977016059627204e-07,0.0
21,0.13958317041397095,1.0,0.13958051800727844,2.4934272460086504e-06,1.6974776428924088e-07,0.0
22,0.1849653273820877,1.0,0.18496271967887878,2.4475234567944426e-06,1.6968947136319912e-07,0.0
23,0.1347741335630417,1.0,0.13477107882499695,2.89820695797971e-06,1.6959899085122743e-07,0.0
24,0.1424572467803955,1.0,0.14245477318763733,2.3089564820111264e-06,1.694719315992188e-07,0.0
25,0.1734754741191864,1.0,0.17347274720668793,2.560214170443942e-06,1.693426554538746e-07,0.0
26,0.14944523572921753,1.0,0.14944270253181458,2.367122760915663e-06,1.6919626943945332e-07,0.0
27,0.1654295176267624,1.0,0.16542726755142212,2.093076773235225e-06,1.6905320876503538e-07,0.0
28,0.17780184745788574,1.0,0.17779962718486786,2.05409469344886e-06,1.689287074668755e-07,0.0
29,0.11862071603536606,1.0,0.11861813068389893,2.413515403532074e-06,1.6883238629361585e-07,0.0
30,0.11903226375579834,1.0,0.11902928352355957,2.8074177862436045e-06,1.6875934250037972e-07,0.0
31,0.15788881480693817,1.0,0.15788626670837402,2.3800143935659435e-06,1.6870161800852657e-07,0.0
32,0.1417563110589981,1.0,0.14175353944301605,2.604071823952836e-06,1.6866437135831802e-07,0.0
33,0.15209102630615234,1.0,0.1520882099866867,2.654797299328493e-06,1.6863594964888762e-07,0.0
