step,loss,accuracy,task_loss,activity_reg,weight_reg,communication_reg
1,1.027949571609497,0.546875,1.0279476642608643,1.7611330349609489e-06,1.379913783239317e-07,0.0
2,0.81758052110672,0.796875,0.8175786733627319,1.7391586197845754e-06,1.3794348774354148e-07,0.0
3,0.6239776015281677,0.953125,0.6239756345748901,1.855463324318407e-06,1.379296605819036e-07,0.0
4,0.440597802400589,1.0,0.4405955672264099,2.09223026104155e-06,1.3795688857953792e-07,0.0
5,0.3280184864997864,1.0,0.3280163109302521,2.023615252255695e-06,1.3802112164285063e-07,0.0
6,0.2379550337791443,1.0,0.23795273900032043,2.1547641608776757e-06,1.3810583254780795e-07,0.0
7,0.2544171214103699,1.0,0.2544148564338684,2.1134733287908603e-06,1.3821279765124928e-07,0.0
8,0.210449680685997,1.0,0.2104475498199463,2.0019222120026825e-06,1.383300372026497e-07,0.0
9,0.22616630792617798,1.0,0.22616371512413025,2.456084985169582e-06,1.3845135526935337e-07,0.0
10,0.21517574787139893,1.0,0.2151729315519333,2.6820544007932767e-06,1.3848115543169115e-07,0.0
11,0.3093798756599426,1.0,0.3093762993812561,3.418962251089397e-06,1.3842583257428487e-07,0.0
12,0.2629750072956085,1.0,0.26297181844711304,3.031458845725865e-06,1.3830822354066186e-07,0.0
13,0.2796248197555542,1.0,0.27962160110473633,3.0707049063494196e-06,1.3814702981562732e-07,0.0
14,0.24048081040382385,1.0,0.240478053689003,2.623065256557311e-06,1.379518153044046e-07,0.0
15,0.24191763997077942,1.0,0.24191513657569885,2.369069079577457e-06,1.377311207306775e-07,0.0
16,0.16061803698539734,1.0,0.1606156826019287,2.219512452938943e-06,1.3749425420428452e-07,0.0
17,0.20218797028064728,1.0,0.2021857500076294,2.082983201034949e-06,1.3726368308653036e-07,0.0
18,0.17578543722629547,1.0,0.17578327655792236,2.0219677026034333e-06,1.37054229298883e-07,0.0
19,0.17731112241744995,1.0,0.17730890214443207,2.0921590930811362e-06,1.36870156097757e-07,0.0
20,0.161764457821846,1.0,0.16176235675811768,1.963891463674372e-06,1.3671129295289575e-07,0.0
21,0.17572510242462158,1.0,0.17572295665740967,2.0061845589225413e-06,1.365853421475549e-07,0.0
22,0.1837475299835205,1.0,0.18374554812908173,1.8530647594161564e-06,1.3648822516643122e-07,0.0
23,0.1586461216211319,1.0,0.15864403545856476,1.9487031295284396e-06,1.3642308260841673e-07,0.0
24,0.18328753113746643,1.0,0.18328550457954407,1.886581230792217e-06,1.363843580293178e-07,0.0
25,0.1516370177268982,1.0,0.1516347974538803,2.078993020404596e-06,1.363679018595576e-07,0.0
26,0.15846967697143555,1.0,0.15846747159957886,2.065180296995095e-06,1.3636230278279982e-07,0.0
27,0.16238228976726532,1.0,0.16238003969192505,2.122945033988799e-06,1.3636693552143697e-07,0.0
28,0.1745915561914444,1.0,0.174589142203331,2.2737140170647763e-06,1.363759309924717e-07,0.0
29,0.13635404407978058,1.0,0.13635174930095673,2.16356147575425e-06,1.3637716733683192e-07,0.0
30,0.17433074116706848,1.0,0.17432866990566254,1.9323026663187193e-06,1.3637793472298654e-07,0.0
31,0.14156439900398254,1.0,0.14156179130077362,2.475488827258232e-06,1.3638317852837645e-07,0.0
32,0.15376999974250793,1.0,0.15376755595207214,2.3077736841514707e-06,1.3636672235861624e-07,0.0
33,0.13934975862503052,1.0,0.13934728503227234,2.3384741325571667e-06,1.3633558637593524e-07,0.0
34,0.14917512238025665,1.0,0.14917278289794922,2.203800931965816e-06,1.3629203010623314e-07,0.0
35,0.1455601155757904,1.0,0.14555726945400238,2.7102478270535357e-06,1.3624521955080127e-07,0.0
36,0.16525781154632568,1.0,0.16525544226169586,2.2342794636642793e-06,1.361708399372219e-07,0.0
37,0.1519804149866104,1.0,0.1519777774810791,2.501654307707213e-06,1.3609582083518035e-07,0.0
38,0.14409734308719635,1.0,0.14409463107585907,2.585254378573154e-06,1.360086514523573e-07,0.0
39,0.14254923164844513,1.0,0.14254668354988098,2.4169221433112398e-06,1.3591018444003566e-07,0.0
40,0.1295572966337204,1.0,0.1295548379421234,2.3237423647515243e-06,1.3581802704720758e-07,0.0
41,0.16478115320205688,1.0,0.16477853059768677,2.4858195502019953e-06,1.3573828994140058e-07,0.0
42,0.11364323645830154,1.0,0.11364062130451202,2.4843509436323075e-06,1.3566345558047033e-07,0.0
43,0.14986225962638855,1.0,0.14985984563827515,2.279644149894011e-06,1.356015530973309e-07,0.0
44,0.13137462735176086,1.0,0.13137203454971313,2.4546056920371484e-06,1.3555785471908166e-07,0.0
45,0.11898454278707504,1.0,0.11898196488618851,2.443401172058657e-06,1.3552710242947796e-07,0.0
46,0.17984573543071747,1.0,0.1798432469367981,2.350166369069484e-06,1.3550926780681039e-07,0.0
47,0.14182151854038239,1.0,0.1418188065290451,2.5756448849278968e-06,1.3550159394526418e-07,0.0
48,0.11152999103069305,1.0,0.11152699589729309,2.858884727174882e-06,1.354960943444894e-07,0.0
49,0.1799071729183197,1.0,0.17990466952323914,2.363588691878249e-06,1.3548546462516242e-07,0.0
50,0.16748549044132233,1.0,0.1674828827381134,2.466349315000116e-06,1.3548115873618372e-07,0.0
51,0.1488238424062729,1.0,0.14882074296474457,2.9643158541148296e-06,1.3547935395763488e-07,0.0
52,0.13493238389492035,1.0,0.13492979109287262,2.4650380510138348e-06,1.3546191723889933e-07,0.0
53,0.13142326474189758,1.0,0.13141986727714539,3.2664968330209376e-06,1.354510459350422e-07,0.0
54,0.15529409050941467,1.0,0.15529081225395203,3.143305548292119e-06,1.3541873045141983e-07,0.0
55,0.13597455620765686,1.0,0.13597138226032257,3.032675067515811e-06,1.353722467456464e-07,0.0
56,0.14669686555862427,1.0,0.14669327437877655,3.4583756587380776e-06,1.3532427090012789e-07,0.0
57,0.13724812865257263,1.0,0.13724437355995178,3.6203025501890806e-06,1.3526550901588053e-07,0.0
58,0.14001496136188507,1.0,0.14001159369945526,3.233875531805097e-06,1.3519853325760778e-07,0.0
59,0.15237610042095184,1.0,0.1523725390434265,3.423056568863103e-06,1.3514160457361868e-07,0.0
60,0.11210978776216507,1.0,0.11210612952709198,3.526396312736324e-06,1.3509416874057933e-07,0.0
61,0.12757256627082825,1.0,0.12756915390491486,3.278070153100998e-06,1.3506105744909291e-07,0.0
62,0.15380547940731049,1.0,0.15380197763442993,3.3634266856097383e-06,1.3504461549018743e-07,0.0
63,0.15180225670337677,1.0,0.1517985463142395,3.571209617803106e-06,1.350437628389045e-07,0.0
64,0.0953010767698288,1.0,0.09529632329940796,4.619008905137889e-06,1.3505554363746342e-07,0.0
65,0.08654312789440155,1.0,0.08653831481933594,4.679597623180598e-06,1.3506483753644716e-07,0.0
66,0.11479737609624863,1.0,0.11479279398918152,4.450301730685169e-06,1.3507317930816498e-07,0.0
67,0.07952603697776794,1.0,0.07952086627483368,5.0393291530781426e-06,1.3508453378108243e-07,0.0
68,0.10111559927463531,1.0,0.10111015290021896,5.309457719704369e-06,1.350939413669039e-07,0.0
69,0.11778746545314789,1.0,0.11778293550014496,4.3991394704789855e-06,1.351019847106727e-07,0.0
70,0.09539635479450226,1.0,0.09539094567298889,5.2778900681005325e-06,1.351206861954779e-07,0.0
71,0.10248369723558426,1.0,0.10247834026813507,5.221020273893373e-06,1.3514271302028646e-07,0.0
72,0.08530526608228683,1.0,0.08529931306838989,5.820571459480561e-06,1.351735932075826e-07,0.0
73,0.0721001848578453,1.0,0.07209306955337524,6.978767942200648e-06,1.3520961772428564e-07,0.0
74,0.06394574791193008,1.0,0.0639384463429451,7.167353942350019e-06,1.3524584119295469e-07,0.0
75,0.05388013273477554,1.0,0.05387222021818161,7.778970939398278e-06,1.352842815549593e-07,0.0
76,0.07368873804807663,1.0,0.07368075102567673,7.854283467167988e-06,1.3532435616525618e-07,0.0
77,0.0795726329088211,1.0,0.07956549525260925,7.001410267548636e-06,1.3536947562897694e-07,0.0
78,0.05646209418773651,1.0,0.05645295977592468,8.999538295029197e-06,1.3542097576646484e-07,0.0
79,0.06587273627519608,1.0,0.06586365401744843,8.950167284638155e-06,1.3547399646540725e-07,0.0
80,0.03418336063623428,1.0,0.03417237848043442,1.0846528311958537e-05,1.3553055566717376e-07,0.0
81,0.036262478679418564,1.0,0.03625128045678139,1.106367380998563e-05,1.355843437522708e-07,0.0
82,0.03801171854138374,1.0,0.03800029307603836,1.129125666921027e-05,1.35636327058819e-07,0.0
83,0.025804877281188965,1.0,0.025792045518755913,1.2695327313849702e-05,1.3568869405844453e-07,0.0
84,0.04060525447130203,1.0,0.04059360921382904,1.1512640412547626e-05,1.357372809707158e-07,0.0
85,0.03058195859193802,1.0,0.030568581074476242,1.324195272900397e-05,1.35784773647174e-07,0.0
86,0.024902570992708206,1.0,0.02488899976015091,1.3435700566333253e-05,1.358282446517478e-07,0.0
87,0.02514655515551567,1.0,0.02513175457715988,1.466465437260922e-05,1.35866855544009e-07,0.0
88,0.024627305567264557,1.0,0.024612747132778168,1.442263055650983e-05,1.3590137371011224e-07,0.0
89,0.025149064138531685,1.0,0.02513512223958969,1.3806356037093792e-05,1.3593353287433274e-07,0.0
90,0.02500930055975914,1.0,0.024992983788251877,1.6180341845029034e-05,1.3596532255633065e-07,0.0
91,0.020140832290053368,1.0,0.020124223083257675,1.6473417417728342e-05,1.359964159064475e-07,0.0
92,0.02074122056365013,1.0,0.020724117755889893,1.6967116607702337e-05,1.3602573289972497e-07,0.0
93,0.01825319044291973,1.0,0.018235187977552414,1.7866634152596816e-05,1.3605307458419702e-07,0.0
94,0.012458494864404202,1.0,0.012439641170203686,1.8717986677074805e-05,1.360758687951602e-07,0.0
95,0.013034120202064514,1.0,0.013014188967645168,1.97948011191329e-05,1.3609064808406401e-07,0.0
96,0.019501304253935814,1.0,0.019482722505927086,1.8445682144374587e-05,1.3609766824629332e-07,0.0
97,0.012052020989358425,1.0,0.012031961232423782,1.9924056687159464e-05,1.361017609724513e-07,0.0
98,0.011741399765014648,1.0,0.011720315553247929,2.0948038581991568e-05,1.3610386417894915e-07,0.0
99,0.011184751987457275,1.0,0.01116255670785904,2.2059628463466652e-05,1.361054984272414e-07,0.0
100,0.013767670840024948,1.0,0.013745634816586971,2.1899690182181075e-05,1.3610582527689985e-07,0.0
101,0.010418009012937546,1.0,0.010397577658295631,2.0295745343901217e-05,1.3610524263185653e-07,0.0
102,0.008619413711130619,1.0,0.008596610277891159,2.2667734810966067e-05,1.3610373628125672e-07,0.0
103,0.007367512211203575,1.0,0.007344428915530443,2.2947260731598362e-05,1.360999704047572e-07,0.0
104,0.005080005619674921,1.0,0.005056462250649929,2.3407377739204094e-05,1.3609485449705971e-07,0.0
105,0.004795394837856293,1.0,0.004771626088768244,2.3632550437469035e-05,1.3608884330551518e-07,0.0
106,0.012442978098988533,1.0,0.012419645674526691,2.3196407710202038e-05,1.360825905294405e-07,0.0
107,0.006332067307084799,1.0,0.00630772951990366,2.4201959604397416e-05,1.3607824200789764e-07,0.0
108,0.0052840556018054485,1.0,0.005260395351797342,2.35244460782269e-05,1.3607377979951707e-07,0.0
109,0.003392778569832444,1.0,0.0033668028190732002,2.583973400760442e-05,1.360693318019912e-07,0.0
110,0.003573661670088768,1.0,0.0035493560135364532,2.4169628886738792e-05,1.360635195624127e-07,0.0
111,0.004777774214744568,1.0,0.004753039218485355,2.459904135321267e-05,1.3605696835838899e-07,0.0
112,0.0070030405186116695,1.0,0.006978064775466919,2.4839897378114983e-05,1.3605018978068983e-07,0.0
113,0.0036712614819407463,1.0,0.0036464123986661434,2.471306470397394e-05,1.3604378068521328e-07,0.0
114,0.004067777656018734,1.0,0.00404100539162755,2.6636394977685995e-05,1.3603714421606128e-07,0.0
115,0.0034743070136755705,1.0,0.003448305418714881,2.5865630959742703e-05,1.3602966930648108e-07,0.0
116,0.0032668968196958303,1.0,0.0032404675148427486,2.6293426344636828e-05,1.3602125648048968e-07,0.0
117,0.0026076186913996935,1.0,0.002579687163233757,2.779545684461482e-05,1.3601172099697578e-07,0.0
118,0.0032504515256732702,1.0,0.0032226848416030407,2.7630632757791318e-05,1.360003238914942e-07,0.0
119,0.003280551405623555,1.0,0.00325317052192986,2.7244832381256856e-05,1.359878183393448e-07,0.0
120,0.00359514681622386,1.0,0.003567890729755163,2.7120184313389473e-05,1.3597465908787854e-07,0.0
121,0.0060617052949965,1.0,0.006035542115569115,2.602728272904642e-05,1.3596113035418966e-07,0.0
122,0.003260253230109811,1.0,0.0032320842146873474,2.8033005946781486e-05,1.359477010964838e-07,0.0
123,0.002994304755702615,1.0,0.002965392079204321,2.8776650651707314e-05,1.3593344760920445e-07,0.0
124,0.002379682380706072,1.0,0.002352063311263919,2.7483116355142556e-05,1.3591792935585545e-07,0.0
125,0.0015662971418350935,1.0,0.0015371758490800858,2.8985383323743008e-05,1.359018142466084e-07,0.0
126,0.002756594680249691,1.0,0.0027272591833025217,2.9199467462603934e-05,1.3588415015419741e-07,0.0
127,0.002023720648139715,1.0,0.001993111101910472,3.0473684091703035e-05,1.3586539182597335e-07,0.0
128,0.0029399418272078037,1.0,0.002911267103627324,2.8538885089801624e-05,1.3584539715338906e-07,0.0
129,0.001953120343387127,1.0,0.001922806492075324,3.0177976441336796e-05,1.358257151196085e-07,0.0
130,0.0035415601450949907,1.0,0.00351327913813293,2.8145226679043844e-05,1.3580563518189592e-07,0.0
131,0.005127388518303633,1.0,0.005098406691104174,2.884607238229364e-05,1.357858963046965e-07,0.0
132,0.0024619034957140684,1.0,0.002433071844279766,2.8695927539956756e-05,1.357657879452745e-07,0.0
133,0.002639228478074074,1.0,0.002612306037917733,2.6786798116518185e-05,1.3574552326645062e-07,0.0
134,0.006348869763314724,1.0,0.006321812979876995,2.6921246899291873e-05,1.3572611123890965e-07,0.0
135,0.002986734500154853,1.0,0.00295697501860559,2.962382677651476e-05,1.3570846135735337e-07,0.0
136,0.002706120954826474,1.0,0.002676856005564332,2.912913441832643e-05,1.3569052725870279e-07,0.0
137,0.0031535301823168993,1.0,0.0031239143572747707,2.947999382740818e-05,1.3567265000347106e-07,0.0
138,0.004266843199729919,1.0,0.00423838198184967,2.8325828679953702e-05,1.3565498591106007e-07,0.0
139,0.0033097369596362114,1.0,0.0032789595425128937,3.064157863263972e-05,1.3563814604822255e-07,0.0
140,0.0013676495291292667,1.0,0.0013371303211897612,3.0383565899683163e-05,1.3562116407683789e-07,0.0
141,0.0009184933151118457,1.0,0.0008863216498866677,3.203603409929201e-05,1.3560328682160616e-07,0.0
142,0.001515933545306325,1.0,0.001483043422922492,3.275451672379859e-05,1.3558376110722747e-07,0.0
143,0.002482800045982003,1.0,0.0024538268335163593,2.8837768695666455e-05,1.355627574639584e-07,0.0
144,0.0015546197537332773,1.0,0.0015239594504237175,3.0524803150910884e-05,1.3554216593547608e-07,0.0
145,0.0012614906299859285,1.0,0.001230012159794569,3.1342940928880125e-05,1.3552110544878815e-07,0.0
146,0.0022285357117652893,1.0,0.0021985212806612253,2.987886364280712e-05,1.35498908093723e-07,0.0
147,0.0014023765688762069,1.0,0.0013696355745196342,3.260550511186011e-05,1.3547654020840127e-07,0.0
148,0.0014549443731084466,1.0,0.001422966830432415,3.1842017051531e-05,1.3545336230436078e-07,0.0
149,0.0015960383461788297,1.0,0.0015652291476726532,3.067376746912487e-05,1.354299143940807e-07,0.0
150,0.0013905656524002552,1.0,0.0013586714630946517,3.175877282046713e-05,1.354065517489289e-07,0.0
151,0.0014677222352474928,1.0,0.0014351772842928767,3.240959995309822e-05,1.3538237908505835e-07,0.0
152,0.001020830124616623,1.0,0.000987607636488974,3.3087108022300526e-05,1.3535732534819545e-07,0.0
153,0.0016035441076382995,1.0,0.0015698227798566222,3.358606045367196e-05,1.353314758034685e-07,0.0
154,0.001381211681291461,1.0,0.001348369987681508,3.2706437195884064e-05,1.3530565468045097e-07,0.0
155,0.001198299927636981,1.0,0.001166254049167037,3.1910636607790366e-05,1.3527971987059573e-07,0.0
