step,loss,accuracy,task_loss,activity_reg,weight_reg,communication_reg
1,1.2335121631622314,0.28125,1.2335104942321777,1.5503810573136434e-06,1.7030954779784224e-07,0.0
2,0.9913610816001892,0.515625,0.9913593530654907,1.5339077208409435e-06,1.7022310316860967e-07,0.0
3,0.7698683142662048,0.875,0.7698664665222168,1.6440551462437725e-06,1.7018066955643008e-07,0.0
4,0.5584273338317871,1.0,0.5584253072738647,1.8700595774134854e-06,1.7019095821524388e-07,0.0
5,0.4085341989994049,1.0,0.40853217244148254,1.8392331639915938e-06,1.7025077170274017e-07,0.0
6,0.28992733359336853,1.0,0.28992515802383423,1.9821347905235598e-06,1.7035219457284256e-07,0.0
7,0.2756712734699249,1.0,0.2756690979003906,1.986568577194703e-06,1.704873113794747e-07,0.0
8,0.21987678110599518,1.0,0.21987468004226685,1.933723524416564e-06,1.70647169284166e-07,0.0
9,0.21594536304473877,1.0,0.21594274044036865,2.4641237814648775e-06,1.7082372494314768e-07,0.0
10,0.2139468491077423,1.0,0.21394389867782593,2.788807705655927e-06,1.7093034898607584e-07,0.0
11,0.32772204279899597,1.0,0.32771819829940796,3.673015044114436e-06,1.7093016424496454e-07,0.0
12,0.2953382134437561,1.0,0.29533475637435913,3.265347913838923e-06,1.7085312720155343e-07,0.0
13,0.3187991678714752,1.0,0.31879565119743347,3.3449305192334577e-06,1.70717726177827e-07,0.0
14,0.2675027847290039,1.0,0.26749974489212036,2.8600504720088793e-06,1.705391952100399e-07,0.0
15,0.2629966139793396,1.0,0.26299384236335754,2.582515435278765e-06,1.7032770927016827e-07,0.0
16,0.17061366140842438,1.0,0.17061108350753784,2.41985912907694e-06,1.7009190855787892e-07,0.0
17,0.2068611979484558,1.0,0.2068588137626648,2.2165218069858383e-06,1.6985298145755223e-07,0.0
18,0.17660561203956604,1.0,0.1766032874584198,2.1674759409506805e-06,1.6962992788194242e-07,0.0
19,0.17755697667598724,1.0,0.17755459249019623,2.223438741566497e-06,1.6943039327088627e-07,0.0
20,0.16293984651565552,1.0,0.16293762624263763,2.050261628028238e-06,1.6925750401242112e-07,0.0
21,0.1785159558057785,1.0,0.17851369082927704,2.1045996163593372e-06,1.6912396461066237e-07,0.0
22,0.1898363083600998,1.0,0.18983423709869385,1.9017863905901322e-06,1.6902261279483355e-07,0.0
23,0.16643016040325165,1.0,0.16642801463603973,1.9824854007310933e-06,1.6895668863980973e-07,0.0
24,0.19189892709255219,1.0,0.19189682602882385,1.93546816262824e-06,1.6892064991225197e-07,0.0
25,0.15648823976516724,1.0,0.15648594498634338,2.137494448106736e-06,1.689104749402759e-07,0.0
26,0.16468888521194458,1.0,0.16468662023544312,2.0987424704799196e-06,1.6891416976250184e-07,0.0
27,0.16736872494220734,1.0,0.16736647486686707,2.090595899062464e-06,1.68932075439443e-07,0.0
28,0.1759999692440033,1.0,0.17599749565124512,2.305547013747855e-06,1.689581523578454e-07,0.0
29,0.13907411694526672,1.0,0.1390717774629593,2.1769667455373565e-06,1.689791986336786e-07,0.0
30,0.17726746201515198,1.0,0.17726531624794006,1.984726623049937e-06,1.6900095545224758e-07,0.0
31,0.1453292965888977,1.0,0.14532658457756042,2.5525644105073297e-06,1.690264070930425e-07,0.0
32,0.15769581496715546,1.0,0.1576932668685913,2.3883756057330174e-06,1.690289224143271e-07,0.0
33,0.14422963559627533,1.0,0.14422707259655,2.3954517018864863e-06,1.6901370258892712e-07,0.0
34,0.1543237566947937,1.0,0.1543213427066803,2.2486883608507924e-06,1.6898229660000652e-07,0.0
35,0.15252353250980377,1.0,0.152520552277565,2.81511279354163e-06,1.6894342991236044e-07,0.0
36,0.16854004561901093,1.0,0.16853761672973633,2.26428460337047e-06,1.6887256037989573e-07,0.0
37,0.15489141643047333,1.0,0.15488865971565247,2.5874778657453135e-06,1.6880247244444035e-07,0.0
38,0.14517799019813538,1.0,0.14517514407634735,2.6823697680811165e-06,1.6872216690444475e-07,0.0
39,0.1446753293275833,1.0,0.1446727216243744,2.4443818347208435e-06,1.6863410223777464e-07,0.0
40,0.13285686075687408,1.0,0.13285431265830994,2.3794605112925638e-06,1.6855510409641283e-07,0.0
41,0.16819459199905396,1.0,0.16819186508655548,2.5617785013309913e-06,1.6849155315412645e-07,0.0
42,0.11839798837900162,1.0,0.11839528381824493,2.534295845180168e-06,1.6843529238030897e-07,0.0
43,0.15590378642082214,1.0,0.15590131282806396,2.316767677257303e-06,1.6839406669078016e-07,0.0
44,0.13803113996982574,1.0,0.13802847266197205,2.504845269868383e-06,1.6837327621033182e-07,0.0
45,0.1250544935464859,1.0,0.1250518262386322,2.4974408461275743e-06,1.6836280281040672e-07,0.0
46,0.18616555631160736,1.0,0.1861630082130432,2.3790698833181523e-06,1.6836318650348403e-07,0.0
47,0.14581578969955444,1.0,0.14581294357776642,2.679971885299892e-06,1.6837449834383733e-07,0.0
48,0.1153014749288559,1.0,0.11529837548732758,2.9311850084923208e-06,1.6838619387726794e-07,0.0
49,0.1848698854446411,1.0,0.1848672777414322,2.448629629725474e-06,1.6839103977872583e-07,0.0
50,0.1756001114845276,1.0,0.17559736967086792,2.5760700737009756e-06,1.6839982208693982e-07,0.0
51,0.1590525060892105,1.0,0.15904924273490906,3.093413170063286e-06,1.6840931493788958e-07,0.0
52,0.14108321070671082,1.0,0.14108046889305115,2.57888859778177e-06,1.684009305336076e-07,0.0
53,0.13778695464134216,1.0,0.1377834975719452,3.2990276395139517e-06,1.6839797467582684e-07,0.0
54,0.16205419600009918,1.0,0.1620507836341858,3.24136158269539e-06,1.6837226723964704e-07,0.0
55,0.14311543107032776,1.0,0.14311224222183228,3.029232402695925e-06,1.6833224947276904e-07,0.0
56,0.15355700254440308,1.0,0.1535532921552658,3.5453915643302025e-06,1.6829065430101764e-07,0.0
57,0.14246852695941925,1.0,0.14246463775634766,3.720040922416956e-06,1.6824151316541247e-07,0.0
58,0.15017490088939667,1.0,0.15017148852348328,3.245078232794185e-06,1.6818906090065866e-07,0.0
59,0.1600053906440735,1.0,0.16000178456306458,3.4380129818600835e-06,1.6814681202959036e-07,0.0
60,0.12219222635030746,1.0,0.12218853831291199,3.5180030408810126e-06,1.681186034829807e-07,0.0
61,0.1417316496372223,1.0,0.14172814786434174,3.3418293696740875e-06,1.681059842439936e-07,0.0
62,0.16697122156620026,1.0,0.16696767508983612,3.378437668288825e-06,1.6810517422527482e-07,0.0
63,0.1651737540960312,1.0,0.16516998410224915,3.6055751024832716e-06,1.6811695502383373e-07,0.0
64,0.10811927914619446,1.0,0.10811446607112885,4.6396507968893275e-06,1.68138996059497e-07,0.0
65,0.10183603316545486,1.0,0.10183121263980865,4.649522907129722e-06,1.6815276637771603e-07,0.0
66,0.13056279718875885,1.0,0.13055822253227234,4.404802439239575e-06,1.6815829440020025e-07,0.0
67,0.09489434212446213,1.0,0.09488918632268906,4.9814766498457175e-06,1.6816288450627326e-07,0.0
68,0.11879146844148636,1.0,0.11878602206707001,5.276602223602822e-06,1.681634813621713e-07,0.0
69,0.13591976463794708,1.0,0.1359153538942337,4.252935468684882e-06,1.6816176184875076e-07,0.0
70,0.11186560243368149,1.0,0.11186037957668304,5.054267148807412e-06,1.6817071468722133e-07,0.0
71,0.12472321838140488,1.0,0.12471802532672882,5.017980129196076e-06,1.6818184178646334e-07,0.0
72,0.10632836818695068,1.0,0.10632266104221344,5.53524569113506e-06,1.682034849181946e-07,0.0
73,0.09248297661542892,1.0,0.09247629344463348,6.514921096822945e-06,1.6823047133129876e-07,0.0
74,0.08583355695009232,1.0,0.08582673966884613,6.64729532218189e-06,1.6825852355850657e-07,0.0
75,0.0750986635684967,1.0,0.07509127259254456,7.220327461254783e-06,1.682906116684535e-07,0.0
