step,loss,accuracy,task_loss,activity_reg,weight_reg,communication_reg
1,0.9128034710884094,0.671875,0.91280198097229,1.3540019381252932e-06,1.2950376060416602e-07,0.0
2,0.7829058766365051,0.78125,0.7829042077064514,1.5645913435946568e-06,1.2948584071637015e-07,0.0
3,0.6985074281692505,0.84375,0.6985056400299072,1.6456683624710422e-06,1.2948552807756641e-07,0.0
4,0.6793423295021057,0.8125,0.6793407201766968,1.5188234101515263e-06,1.2953847772223526e-07,0.0
5,0.6189215779304504,0.875,0.6189199090003967,1.5654075014026603e-06,1.2961491790974833e-07,0.0
6,0.5438797473907471,0.84375,0.5438778400421143,1.7681802546576364e-06,1.2971007379292132e-07,0.0
7,0.4961336553096771,0.84375,0.49613165855407715,1.874137865343073e-06,1.298235332569675e-07,0.0
8,0.4490467607975006,0.90625,0.4490445554256439,2.0765355657204054e-06,1.2993943698802468e-07,0.0
9,0.5940883159637451,0.78125,0.5940857529640198,2.4707474040042143e-06,1.3003038645820197e-07,0.0
10,0.5322444438934326,0.796875,0.5322420597076416,2.2542903934663627e-06,1.30083975591333e-07,0.0
11,0.3998391628265381,0.90625,0.3998368978500366,2.137095407306333e-06,1.301023075939156e-07,0.0
12,0.5416408777236938,0.828125,0.5416383743286133,2.3756474547553807e-06,1.3008271082526335e-07,0.0
13,0.5333960652351379,0.765625,0.5333936214447021,2.319186251042993e-06,1.3003092647068115e-07,0.0
14,0.5417489409446716,0.84375,0.541746973991394,1.8655370013220818e-06,1.2994891562811972e-07,0.0
15,0.4858286380767822,0.859375,0.485826313495636,2.2014908154233126e-06,1.2986805586479022e-07,0.0
16,0.4863017797470093,0.875,0.4862997531890869,1.9143512872688007e-06,1.297566996072419e-07,0.0
17,0.5222731828689575,0.859375,0.5222713351249695,1.757606582941662e-06,1.296552625262848e-07,0.0
18,0.5233641862869263,0.90625,0.5233621597290039,1.8804170167641132e-06,1.29572072182782e-07,0.0
19,0.42969655990600586,0.953125,0.42969462275505066,1.814525148802204e-06,1.2950414429724333e-07,0.0
20,0.5170707106590271,0.859375,0.5170683860778809,2.195979959651595e-06,1.2946425442805776e-07,0.0
21,0.4602912366390228,0.859375,0.46028900146484375,2.1112311969773145e-06,1.2941005422817398e-07,0.0
22,0.3793359100818634,0.859375,0.37933337688446045,2.4047924398473697e-06,1.2934765436511952e-07,0.0
23,0.4392329752445221,0.859375,0.43923085927963257,1.995061211346183e-06,1.2927917225624697e-07,0.0
24,0.460675984621048,0.90625,0.46067386865615845,2.001043185373419e-06,1.292194724555884e-07,0.0
25,0.48271846771240234,0.875,0.4827164113521576,1.9226888525736285e-06,1.2916734704049304e-07,0.0
26,0.45284798741340637,0.84375,0.4528455138206482,2.3548450371890794e-06,1.291261781943831e-07,0.0
27,0.47821372747421265,0.875,0.47821134328842163,2.274863390994142e-06,1.290791686869852e-07,0.0
28,0.3874886631965637,0.953125,0.38748621940612793,2.314493031008169e-06,1.2902508217393915e-07,0.0
29,0.42492222785949707,0.953125,0.42491984367370605,2.272937763336813e-06,1.2897274359602307e-07,0.0
30,0.38876980543136597,0.9375,0.3887676000595093,2.072788447549101e-06,1.2892834888589277e-07,0.0
31,0.43963682651519775,0.921875,0.43963414430618286,2.561312157922657e-06,1.2890301093193557e-07,0.0
32,0.4797554016113281,0.9375,0.4797530770301819,2.2111169073468773e-06,1.288770477003709e-07,0.0
33,0.5026776194572449,0.875,0.5026754140853882,2.065830358333187e-06,1.288554614120585e-07,0.0
34,0.4863317310810089,0.90625,0.48632901906967163,2.598065293568652e-06,1.2884758859854628e-07,0.0
35,0.3883989155292511,0.96875,0.3883965015411377,2.2876638468005694e-06,1.2884035527349624e-07,0.0
36,0.4292139410972595,0.890625,0.4292115867137909,2.237490207335213e-06,1.288446185299108e-07,0.0
37,0.3918459117412567,0.90625,0.39184296131134033,2.8335869046713924e-06,1.288639737140329e-07,0.0
38,0.5052984952926636,0.90625,0.5052955746650696,2.77618983091088e-06,1.2888797584764689e-07,0.0
39,0.40372252464294434,0.9375,0.40371957421302795,2.844298478521523e-06,1.289065068021955e-07,0.0
40,0.42542633414268494,0.953125,0.42542362213134766,2.597849288576981e-06,1.2892887468751724e-07,0.0
41,0.4307403862476349,0.90625,0.43073755502700806,2.7025328108720714e-06,1.2895141310309555e-07,0.0
42,0.39521798491477966,0.921875,0.3952145576477051,3.317151822557207e-06,1.2897457679628133e-07,0.0
43,0.41646715998649597,0.921875,0.4164642095565796,2.8360868782328907e-06,1.2899485568595992e-07,0.0
44,0.4557613134384155,0.859375,0.45575863122940063,2.5616236598580144e-06,1.2900592594178306e-07,0.0
45,0.38359376788139343,0.953125,0.38359078764915466,2.859552296285983e-06,1.290135287490557e-07,0.0
46,0.3568126857280731,0.921875,0.3568091094493866,3.4490997222746955e-06,1.290332676262551e-07,0.0
47,0.44939279556274414,0.875,0.44938889145851135,3.7717111354140798e-06,1.290458726543875e-07,0.0
48,0.35900992155075073,0.921875,0.35900604724884033,3.7526513096963754e-06,1.2904031621019385e-07,0.0
49,0.3597879409790039,0.9375,0.3597833514213562,4.472763066587504e-06,1.29040358842758e-07,0.0
50,0.341683030128479,0.90625,0.3416788876056671,4.00884846385452e-06,1.2902945911719144e-07,0.0
51,0.3716384172439575,0.90625,0.3716343641281128,3.935088443540735e-06,1.2901816148769285e-07,0.0
52,0.4096260666847229,0.890625,0.4096214175224304,4.540216650639195e-06,1.2901361401418399e-07,0.0
53,0.3899468183517456,0.90625,0.3899422585964203,4.430725766724208e-06,1.290245705831694e-07,0.0
54,0.3353290259838104,0.90625,0.3353232741355896,5.628859526041197e-06,1.2904361312848778e-07,0.0
55,0.39254850149154663,0.953125,0.3925439715385437,4.396551503305091e-06,1.290730864411671e-07,0.0
56,0.3836205005645752,0.90625,0.38361507654190063,5.291198704071576e-06,1.2911554847505613e-07,0.0
57,0.3264875113964081,0.9375,0.3264814019203186,5.9817125475092325e-06,1.2915093350329698e-07,0.0
