experiment,task,model,seed,batch_idx,trial_idx,E_max,E_mean,E_auc,D_max,D_mean,D_auc,M_max,M_mean,M_auc,divergence_time
state_setting__gated__seed1,StateSettingTask,TwoRegionGatedRNN,1,0,0,1.1200190782546997,0.5876641273498535,39.55999755859375,0.08317333459854126,0.022594448179006577,1.5355663299560547,0.6943414211273193,0.25635361671447754,17.41805076599121,18
state_setting__gated__seed1,StateSettingTask,TwoRegionGatedRNN,1,0,1,1.208899974822998,0.7091153264045715,47.615421295166016,0.05771917104721069,0.023069480434060097,1.5622146129608154,0.1449766308069229,0.04521714895963669,3.0707197189331055,16
state_setting__gated__seed1,StateSettingTask,TwoRegionGatedRNN,1,0,2,1.2308224439620972,0.7810387015342712,52.495662689208984,0.07344424724578857,0.025458430871367455,1.7249194383621216,0.27001333236694336,0.0873972624540329,5.9334845542907715,16
state_setting__gated__seed1,StateSettingTask,TwoRegionGatedRNN,1,0,3,1.1844921112060547,0.5121839046478271,34.23625564575195,0.03425350785255432,0.02216235175728798,1.5001919269561768,0.3124287724494934,0.09594283998012543,6.367898941040039,20
state_setting__gated__seed1,StateSettingTask,TwoRegionGatedRNN,1,0,4,0.7953983545303345,0.36508166790008545,24.427858352661133,0.04671353101730347,0.01912393420934677,1.2962162494659424,0.3334015905857086,0.168962761759758,11.47334098815918,12
state_setting__gated__seed1,StateSettingTask,TwoRegionGatedRNN,1,0,5,1.3646069765090942,0.6720719337463379,45.130340576171875,0.1300252079963684,0.052001889795064926,3.5222549438476562,0.5609672665596008,0.21495173871517181,14.472896575927734,11
state_setting__gated__seed1,StateSettingTask,TwoRegionGatedRNN,1,0,6,0.953524112701416,0.5715934038162231,38.46926498413086,0.05943787097930908,0.01656034216284752,1.1248688697814941,0.6153987646102905,0.25034111738204956,16.754308700561523,15
state_setting__gated__seed1,StateSettingTask,TwoRegionGatedRNN,1,0,7,1.1956768035888672,0.7414823770523071,49.823055267333984,0.06793707609176636,0.023571575060486794,1.5957187414169312,0.22337065637111664,0.07131713628768921,4.840292453765869,16
state_setting__gated__seed1,StateSettingTask,TwoRegionGatedRNN,1,0,8,1.4929454326629639,0.6980204582214355,46.84949493408203,0.1413295567035675,0.0644659772515297,4.373664379119873,0.5904653072357178,0.2602401375770569,17.615154266357422,11
state_setting__gated__seed1,StateSettingTask,TwoRegionGatedRNN,1,0,9,1.1269302368164062,0.5674368739128113,38.19300079345703,0.08348309993743896,0.02276453748345375,1.5474939346313477,0.7057100534439087,0.2626093327999115,17.773828506469727,21
