step,loss,accuracy,task_loss,activity_reg,weight_reg,communication_reg
1,0.8878359794616699,0.5625,0.8878345489501953,1.2486651712606545e-06,1.602970343128618e-07,0.0
2,0.7484806180000305,0.828125,0.7484789490699768,1.5035282103781356e-06,1.603820152240587e-07,0.0
3,0.6347071528434753,0.90625,0.6347053050994873,1.6423180113633862e-06,1.6048463180595718e-07,0.0
4,0.6396974921226501,0.828125,0.6396957635879517,1.544249812468479e-06,1.6061156316027336e-07,0.0
5,0.5903124213218689,0.859375,0.5903106331825256,1.6249913414867478e-06,1.6074862685400149e-07,0.0
6,0.5456566214561462,0.84375,0.5456545352935791,1.8878772607422434e-06,1.609073621011703e-07,0.0
7,0.5187238454818726,0.84375,0.5187216997146606,1.955213747351081e-06,1.6104313260711933e-07,0.0
8,0.4664158821105957,0.859375,0.46641361713409424,2.1132323126948904e-06,1.6114221068619372e-07,0.0
9,0.6365320086479187,0.78125,0.6365294456481934,2.381595095357625e-06,1.6116513279484934e-07,0.0
10,0.5343859791755676,0.796875,0.5343837141990662,2.1097066564834677e-06,1.6115838263885962e-07,0.0
11,0.4124327600002289,0.90625,0.41243070363998413,1.9148499177390477e-06,1.6112325340600364e-07,0.0
12,0.5204892158508301,0.828125,0.5204870104789734,2.0424186004674993e-06,1.6108388933844253e-07,0.0
13,0.49957242608070374,0.78125,0.4995702803134918,1.985258450076799e-06,1.6103302868941682e-07,0.0
14,0.5361053943634033,0.84375,0.5361035466194153,1.6522182022526977e-06,1.6096535659926303e-07,0.0
15,0.4517524838447571,0.859375,0.45175039768218994,1.9223502931708936e-06,1.6091424015485245e-07,0.0
16,0.4943986237049103,0.875,0.49439677596092224,1.7134310610344983e-06,1.6086990228814102e-07,0.0
17,0.5261126756668091,0.859375,0.5261108875274658,1.5923872069834033e-06,1.6084345588751603e-07,0.0
18,0.511128842830658,0.90625,0.5111268758773804,1.7842802435552585e-06,1.6084636911273265e-07,0.0
19,0.4327845573425293,0.953125,0.43278270959854126,1.6964703490884858e-06,1.6086556797745288e-07,0.0
20,0.5118786096572876,0.84375,0.5118764042854309,2.0070160644536372e-06,1.6091118482108868e-07,0.0
21,0.4799237847328186,0.859375,0.4799216687679291,1.959416522367974e-06,1.6093622434709687e-07,0.0
22,0.393839031457901,0.8125,0.3938365578651428,2.3123393475543708e-06,1.6094740828975773e-07,0.0
23,0.4608496129512787,0.84375,0.4608474671840668,1.9886235804733587e-06,1.6094229238206026e-07,0.0
24,0.4710962474346161,0.90625,0.47109419107437134,1.921485136335832e-06,1.6094078603146045e-07,0.0
25,0.49496638774871826,0.875,0.4949643611907959,1.8869252471631626e-06,1.6093956389795494e-07,0.0
26,0.4518067240715027,0.859375,0.45180439949035645,2.176438556489302e-06,1.6093882493350975e-07,0.0
27,0.48951297998428345,0.859375,0.48951059579849243,2.2447536593972472e-06,1.6092600674255664e-07,0.0
28,0.4004683494567871,0.9375,0.4004659652709961,2.244976712972857e-06,1.6090255883227655e-07,0.0
29,0.42394521832466125,0.921875,0.4239429831504822,2.093495822919067e-06,1.6087685139609675e-07,0.0
30,0.3932894170284271,0.9375,0.39328718185424805,2.091567012030282e-06,1.6086173104667978e-07,0.0
31,0.4166737496852875,0.890625,0.4166712164878845,2.3901470740383957e-06,1.6086426057881908e-07,0.0
32,0.47885897755622864,0.921875,0.47885677218437195,2.0631202914955793e-06,1.6087770404737967e-07,0.0
33,0.5135319232940674,0.875,0.5135298371315002,1.9032818272535224e-06,1.6089612131509057e-07,0.0
34,0.5075327157974243,0.859375,0.507530152797699,2.4057894734141883e-06,1.6092566568204347e-07,0.0
35,0.3987140655517578,0.953125,0.39871177077293396,2.1395458134065848e-06,1.6095137311822327e-07,0.0
36,0.4383392632007599,0.84375,0.4383369982242584,2.1104638108226936e-06,1.6098530863928318e-07,0.0
37,0.3871804475784302,0.859375,0.3871776759624481,2.6171071567659965e-06,1.6103520295018825e-07,0.0
38,0.5359097719192505,0.84375,0.5359070301055908,2.54580072578392e-06,1.610909663440907e-07,0.0
39,0.41536858677864075,0.9375,0.4153658449649811,2.5928197828761768e-06,1.6113612844037561e-07,0.0
40,0.446479856967926,0.90625,0.44647732377052307,2.3922871150716674e-06,1.611832374237565e-07,0.0
41,0.4534277319908142,0.84375,0.45342522859573364,2.348580210309592e-06,1.6123094326303544e-07,0.0
42,0.4056224822998047,0.890625,0.40561944246292114,2.893560804295703e-06,1.6128481661326077e-07,0.0
43,0.4370550811290741,0.921875,0.4370524287223816,2.4903549729060614e-06,1.613391589216917e-07,0.0
44,0.4699183702468872,0.875,0.4699159860610962,2.232648512290325e-06,1.6138865532866475e-07,0.0
45,0.40004244446754456,0.953125,0.40003979206085205,2.508438228687737e-06,1.6143941650170746e-07,0.0
46,0.37056025862693787,0.953125,0.3705572783946991,2.819979727064492e-06,1.615061080428859e-07,0.0
47,0.45647376775741577,0.875,0.4564705193042755,3.1090155516722007e-06,1.6156512572251813e-07,0.0
48,0.38422495126724243,0.953125,0.3842216730117798,3.133665359200677e-06,1.6159502536083892e-07,0.0
49,0.3789287209510803,0.9375,0.3789248466491699,3.7119757507753093e-06,1.616268860971104e-07,0.0
50,0.36295655369758606,0.90625,0.3629531264305115,3.271042032793048e-06,1.616381979374637e-07,0.0
51,0.3897458612918854,0.921875,0.38974249362945557,3.2232064768322743e-06,1.6165448357696732e-07,0.0
52,0.4016958177089691,0.90625,0.4016921818256378,3.4860806863434846e-06,1.616868132714444e-07,0.0
53,0.4058472812175751,0.90625,0.4058437943458557,3.3241851724596927e-06,1.6173582650935714e-07,0.0
54,0.3292797803878784,0.9375,0.32927531003952026,4.324265319155529e-06,1.6179380679659516e-07,0.0
