step,loss,accuracy,task_loss,activity_reg,weight_reg,communication_reg
1,1.2707865238189697,0.390625,1.270781397819519,4.921174877381418e-06,2.2109021813321306e-07,0.0
2,1.0920592546463013,0.515625,1.0920541286468506,4.858024112763815e-06,2.2095665030974487e-07,0.0
3,0.9874982237815857,0.4375,0.9874933362007141,4.678488494391786e-06,2.2086344131366786e-07,0.0
4,0.8860412240028381,0.5625,0.8860362768173218,4.681483460444724e-06,2.2080195094531518e-07,0.0
5,0.8231752514839172,0.796875,0.8231706023216248,4.439686108526075e-06,2.207767266781957e-07,0.0
6,0.7316694855690002,0.875,0.7316651344299316,4.139563316130079e-06,2.2078341999076656e-07,0.0
7,0.7065690159797668,0.8125,0.7065645456314087,4.242498107487336e-06,2.2082878103901749e-07,0.0
8,0.5914795994758606,0.78125,0.5914751291275024,4.247106517141219e-06,2.2089719209361647e-07,0.0
9,0.6439969539642334,0.6875,0.64399254322052,4.194936536805471e-06,2.2099713703482848e-07,0.0
10,0.5723481178283691,0.734375,0.5723437666893005,4.0883187466533855e-06,2.2109252029167692e-07,0.0
11,0.44948214292526245,0.890625,0.4494776427745819,4.281662313587731e-06,2.2117923492714908e-07,0.0
12,0.5922683477401733,0.796875,0.5922631621360779,4.958811132382834e-06,2.2127669296878594e-07,0.0
13,0.5636809468269348,0.796875,0.5636757016181946,5.034501555201132e-06,2.2134636878945457e-07,0.0
14,0.5765973925590515,0.828125,0.5765925645828247,4.57180931334733e-06,2.2138664235171746e-07,0.0
15,0.41645756363868713,0.9375,0.41645240783691406,4.938920938002411e-06,2.2141432509670267e-07,0.0
16,0.4892970323562622,0.9375,0.4892919063568115,4.922231255477527e-06,2.2139983002489316e-07,0.0
17,0.5629178881645203,0.84375,0.5629125237464905,5.1060137593594845e-06,2.2136894983759703e-07,0.0
18,0.5100960731506348,0.875,0.510090708732605,5.098933797853533e-06,2.2133119159661874e-07,0.0
19,0.38657262921333313,0.953125,0.3865673542022705,5.070555744168814e-06,2.212681522451021e-07,0.0
20,0.511333167552948,0.859375,0.5113271474838257,5.789018814539304e-06,2.2122584653061494e-07,0.0
21,0.4579935371875763,0.859375,0.45798739790916443,5.9283338487148285e-06,2.2117970388535468e-07,0.0
22,0.3488422930240631,0.90625,0.34883636236190796,5.707861419068649e-06,2.211449441347213e-07,0.0
23,0.4140056371688843,0.921875,0.41400015354156494,5.2662103371403646e-06,2.2112281783392973e-07,0.0
24,0.46338263154029846,0.84375,0.4633767604827881,5.651857463817578e-06,2.211366307847129e-07,0.0
25,0.49715837836265564,0.859375,0.4971524477005005,5.734094884246588e-06,2.2116154241302866e-07,0.0
26,0.5393806099891663,0.75,0.5393738746643066,6.4960918280121405e-06,2.2118892673006485e-07,0.0
27,0.4575272500514984,0.84375,0.4575194716453552,7.5729217314801645e-06,2.2121209042325063e-07,0.0
28,0.3511943519115448,0.9375,0.35118600726127625,8.13948645372875e-06,2.2124064003037347e-07,0.0
29,0.41656291484832764,0.921875,0.4165555536746979,7.165614988480229e-06,2.2128604371118854e-07,0.0
30,0.340900719165802,0.921875,0.34089380502700806,6.709600711474195e-06,2.2133184529593564e-07,0.0
31,0.44406527280807495,0.859375,0.4440566897392273,8.381034604099113e-06,2.2139526834052958e-07,0.0
32,0.44069334864616394,0.890625,0.4406850337982178,8.093156793620437e-06,2.214612919715364e-07,0.0
33,0.4313475787639618,0.90625,0.4313393831253052,7.98474775365321e-06,2.2152993039981084e-07,0.0
34,0.42492660880088806,0.921875,0.4249182939529419,8.110576345643494e-06,2.2161452761793043e-07,0.0
35,0.31135061383247375,0.953125,0.311340868473053,9.524375855107792e-06,2.216903141061266e-07,0.0
36,0.3619476854801178,0.890625,0.36193761229515076,9.876564035948832e-06,2.2176818958996591e-07,0.0
37,0.36464938521385193,0.90625,0.3646380305290222,1.1134290616610087e-05,2.218509109752631e-07,0.0
38,0.3662644624710083,0.9375,0.3662545084953308,9.758387022884563e-06,2.219431678440742e-07,0.0
39,0.36923685669898987,0.90625,0.3692263960838318,1.0242272765026428e-05,2.2203091987194057e-07,0.0
40,0.30850768089294434,0.96875,0.30849698185920715,1.0479417142050806e-05,2.2212371675323084e-07,0.0
41,0.309774786233902,0.953125,0.30976301431655884,1.1555240234883968e-05,2.2222867812615732e-07,0.0
42,0.2849901616573334,0.96875,0.2849782705307007,1.169741153717041e-05,2.2234937091525353e-07,0.0
43,0.2898387908935547,0.9375,0.2898264527320862,1.2128731214033905e-05,2.2247711228828848e-07,0.0
44,0.27255988121032715,0.9375,0.27254706621170044,1.261400211660657e-05,2.2261488652475236e-07,0.0
45,0.2121308296918869,0.984375,0.21211716532707214,1.3436245353659615e-05,2.2274285527146276e-07,0.0
46,0.2430243045091629,0.96875,0.24301062524318695,1.3450249753077514e-05,2.2287265721843141e-07,0.0
47,0.23904390633106232,0.9375,0.23902928829193115,1.4399876818060875e-05,2.2300363866634143e-07,0.0
48,0.23475390672683716,0.953125,0.23473931849002838,1.4365219612955116e-05,2.231367233207493e-07,0.0
49,0.24409852921962738,0.96875,0.24408270418643951,1.560066630190704e-05,2.2326698001506884e-07,0.0
50,0.17708911001682281,0.984375,0.1770738661289215,1.502272607467603e-05,2.2338508642860688e-07,0.0
51,0.17194637656211853,0.984375,0.1719304770231247,1.5682253433624282e-05,2.234935436717933e-07,0.0
52,0.24744169414043427,1.0,0.24742598831653595,1.548743421153631e-05,2.2362149820764898e-07,0.0
53,0.2714976668357849,0.9375,0.27148085832595825,1.6575697372900322e-05,2.2374291575033567e-07,0.0
54,0.24970917403697968,0.96875,0.24969109892845154,1.7852309611043893e-05,2.2384814712950174e-07,0.0
55,0.14065253734588623,1.0,0.14063578844070435,1.652461833145935e-05,2.2393639653728314e-07,0.0
56,0.21939633786678314,0.984375,0.21937613189220428,1.998656262003351e-05,2.2403496302558779e-07,0.0
57,0.16360171139240265,1.0,0.16358312964439392,1.8360107787884772e-05,2.241274330572196e-07,0.0
58,0.14385701715946198,1.0,0.143839031457901,1.7766204109648243e-05,2.242171603938914e-07,0.0
59,0.15296880900859833,1.0,0.15294910967350006,1.9471339328447357e-05,2.2429040313909354e-07,0.0
60,0.2805951237678528,0.921875,0.28057414293289185,2.0733254132210277e-05,2.243379384481159e-07,0.0
61,0.3264583349227905,0.90625,0.32643795013427734,2.013487392105162e-05,2.2437134816755133e-07,0.0
62,0.25400981307029724,0.953125,0.2539900243282318,1.954145045601763e-05,2.2439348867919762e-07,0.0
63,0.21809111535549164,0.921875,0.21806973218917847,2.1161236873012967e-05,2.2440697478032234e-07,0.0
64,0.14859923720359802,1.0,0.14857926964759827,1.9747269107028842e-05,2.2441470548528741e-07,0.0
65,0.1669749915599823,0.984375,0.16695429384708405,2.0480210878304206e-05,2.2443565228513762e-07,0.0
66,0.1783524453639984,1.0,0.17833152413368225,2.0691326426458545e-05,2.2446999992098426e-07,0.0
67,0.1936468780040741,0.984375,0.19362647831439972,2.0178129489067942e-05,2.245135846123958e-07,0.0
68,0.20679467916488647,0.984375,0.20677143335342407,2.3025404516374692e-05,2.2456185888586333e-07,0.0
69,0.1852426379919052,0.984375,0.18522047996520996,2.1933141397312284e-05,2.2460788784428587e-07,0.0
