task,architecture,seed,best_val_accuracy,best_step,final_step,D_J_mean,M_J_mean,E_J_mean,max_abs_delta_q_mean,max_abs_direct_mean,max_abs_modulation_mean,auc_delta_q_mean,auc_direct_mean,auc_modulation_mean,n_trials_total,trial_D_max_median,trial_D_max_p90,trial_M_max_median,trial_M_max_p90,trial_M_mean_median,trial_M_mean_p90,trial_E_max_median,trial_E_max_p90,frac_trials_D_above,frac_trials_M_above,frac_trials_E_above,task_profile__n,task_profile__d_onset,task_profile__m_onset,task_profile__q_onset,task_profile__uc_raw_d,task_profile__uc_raw_m,task_profile__uc_d_unique_of_m,task_profile__uc_d_unique_p,task_profile__uc_m_unique_of_d,task_profile__uc_m_unique_p,threshold__pct_mixed_max,threshold__pct_direct_only_max,threshold__pct_mod_only_max,threshold__pct_none_max,threshold__pct_mixed_maxmean,threshold__pct_direct_only_maxmean,threshold__current_d_thresh,threshold__current_m_thresh,task_profile__m_div,task_profile__q_div,strategy_label
BinaryCategorizationTask,additive,2.0,1.0,266.6666666666667,1000.0,1.0,1.0,1.0,1.0962780714035034,0.09918355941772461,1.4804025888442993,25.8531436920166,1.209889531135559,16.338571548461914,256.0,0.08190733194351196,0.09467344482739766,1.3527860641479492,1.459326982498169,0.36376633246739704,0.4399068355560303,1.0421154499053955,1.0852861801783245,0.9153645833333334,1.0,1.0,256.0,14.633333333333333,32.1,19.333333333333332,0.5088333333333334,0.18330000000000002,0.7360000000000001,0.0,-0.26593333333333335,0.00394,63.333333333333336,0.0,36.666666666666664,0.0,33.333333333333336,0.0,0.06,0.04,,,"(1,1)"
BinaryCategorizationTask,gated,2.0,1.0,283.3333333333333,1000.0,1.0,1.0,1.0,1.0765934785207112,0.09802426894505818,1.6335982481638591,25.805365880330402,1.2290012439092,17.948610305786133,256.0,0.08121795455614726,0.09386411309242249,1.3866373697916667,1.6129355827967327,0.3918592929840088,0.49251435200373334,1.039968490600586,1.0667308171590169,0.9583333333333334,1.0,1.0,256.0,15.0,31.633333333333336,19.46666666666667,0.5372333333333333,0.21830000000000002,0.7707333333333333,0.0,-0.49289999999999995,1.6666666666666669e-06,61.666666666666664,0.0,38.333333333333336,0.0,35.0,0.0,0.06,0.04,,,"(1,1)"
ContextDependentDecisionTask,additive,2.0,0.9993489583333334,383.3333333333333,1000.0,1.0,1.0,1.0,1.4259265263875325,0.083489328622818,1.386120359102885,31.327229181925457,1.1065005858739216,11.872211456298828,256.0,0.0445874830087026,0.07600150257349014,0.5377058188120524,1.0113153457641602,0.1865958571434021,0.39086119333902997,1.1435441970825195,1.330811580022176,0.2708333333333333,1.0,1.0,256.0,,,,,,,,,,53.333333333333336,0.0,46.666666666666664,0.0,43.333333333333336,0.0,0.06,0.04,21.0,7.333333333333333,"(1,1)"
ContextDependentDecisionTask,gated,2.0,0.9993489583333334,366.6666666666667,1000.0,1.0,1.0,1.0,1.2988512516021729,0.11267402768135071,1.137592077255249,30.179121017456055,1.3835397561391194,8.715752601623535,256.0,0.058925737937291466,0.10341171423594157,0.40385399262110394,0.7486470341682434,0.14168703059355417,0.2872316638628642,1.0333854953447978,1.2308801809946697,0.4778645833333333,1.0,1.0,256.0,,,,,,,,,,73.33333333333333,0.0,26.666666666666668,0.0,56.666666666666664,0.0,0.06,0.04,22.0,11.333333333333334,"(1,1)"
DelayedCategorizationTask,additive,2.0,1.0,300.0,1000.0,0.0,1.0,1.0,1.0513251225153606,0.046909729639689125,0.8055088321367899,34.3092295328776,0.9760801792144775,12.583373387654623,256.0,0.03913883368174235,0.04543659587701162,0.7629436651865641,0.7957539359728495,0.21278119087219238,0.24737800161043802,1.0275606314341228,1.048243562380473,0.0,1.0,1.0,256.0,16.966666666666665,41.13333333333333,24.166666666666668,0.30256666666666665,0.29433333333333334,0.09799999999999999,0.10467333333333334,-0.0629,0.156402,26.666666666666668,0.0,73.33333333333333,0.0,21.666666666666668,0.0,0.06,0.04,,,"(0,1)"
DelayedCategorizationTask,gated,2.0,1.0,283.3333333333333,1000.0,0.0,1.0,1.0,1.0557833512624104,0.04901351531346639,1.0272526542345684,33.42704772949219,0.8428902427355448,14.551116943359375,256.0,0.039407044649124146,0.04726035396258036,0.7287126779556274,1.0163931846618652,0.2360152006149292,0.3178809881210327,0.995468258857727,1.0419487555821736,0.0,1.0,1.0,256.0,19.133333333333336,39.93333333333333,24.666666666666668,0.07023333333333333,0.08166666666666667,-0.06943333333333333,0.16046166666666664,0.0582,0.13534900000000002,28.333333333333332,0.0,71.66666666666667,0.0,16.666666666666668,0.0,0.06,0.04,,,"(0,1)"
RedundantInputControlTask,additive,2.0,1.0,300.0,1000.0,1.0,1.0,1.0,0.9246170918146769,0.08104305466016133,1.3063445885976155,15.324977238972982,1.2386602361996968,15.740280469258627,256.0,0.07111699382464091,0.07877897222836812,1.2017738421758015,1.2835944692293804,0.36595333615938824,0.4260070522626241,0.7756790320078532,0.8508046865463257,0.875,1.0,1.0,256.0,14.033333333333333,29.566666666666666,17.733333333333334,0.5379666666666667,0.20663333333333334,0.8397,0.0,-0.5033333333333333,0.0,50.0,0.0,50.0,0.0,33.333333333333336,0.0,0.06,0.04,,,"(1,1)"
RedundantInputControlTask,gated,2.0,1.0,283.3333333333333,1000.0,1.0,1.0,1.0,0.9847191373507181,0.08691936731338501,1.4756639401117961,18.979063034057617,1.3818957805633545,17.88882573445638,256.0,0.07398860653241475,0.08332397540410359,1.3042086362838745,1.4695345163345337,0.4028342266877492,0.5133966207504272,0.8670100371042887,0.923603336016337,0.97265625,1.0,1.0,256.0,14.433333333333332,29.3,18.2,0.47806666666666664,0.21483333333333335,0.8030666666666667,0.0,-0.5902333333333333,0.0,55.0,0.0,45.0,0.0,40.0,0.0,0.06,0.04,,,"(1,1)"
StateSettingTask,additive,2.0,1.0,433.3333333333333,1000.0,1.0,1.0,1.0,2.229435682296753,0.15172362327575684,1.753232518831889,43.11752192179362,1.8433977762858074,16.700288772583008,256.0,0.07819738984107971,0.12507368127504984,0.6463281710942587,1.677249828974406,0.2139787177244822,0.5641986628373464,1.3891619443893433,2.0464408000310264,0.7330729166666666,0.9986979166666666,1.0,256.0,,,,,,,,,,98.33333333333333,0.0,1.6666666666666667,0.0,75.0,0.0,0.06,0.04,,,"(1,1)"
StateSettingTask,gated,2.0,1.0,400.0,1000.0,1.0,1.0,1.0,1.7609716653823853,0.14932979146639505,1.2050556540489197,41.27997589111328,1.8313563267389934,12.72942320505778,256.0,0.07724670320749283,0.12124493221441905,0.5023347536722819,0.7849915424982706,0.16872685154279074,0.33052531878153485,1.1531529426574707,1.5737136205037434,0.671875,1.0,1.0,256.0,,,,,,,,,,96.66666666666667,0.0,3.3333333333333335,0.0,75.0,0.0,0.06,0.04,,,"(1,1)"
StateSettingTask,reciprocal_context,2.0,1.0,416.6666666666667,1000.0,1.0,1.0,1.0,1.4208760261535645,0.14176653822263083,0.8164460261662801,38.728048960367836,1.7418372631072998,6.800933678944905,256.0,0.06794083615144093,0.10070940852165222,0.2879920502503713,0.5070350368817648,0.09943296015262604,0.1710802068312963,1.0775649150212605,1.2734066645304363,0.62890625,1.0,1.0,256.0,,,,,,,,,,91.66666666666667,0.0,8.333333333333334,0.0,71.66666666666667,0.0,0.06,0.04,,,"(1,1)"
