run_name,task,architecture,seed,best_val_accuracy,best_step,final_step,experiment,model,D_J_mean,M_J_mean,E_J_mean,mechanism_class_mode,mechanism_class_counts,max_abs_delta_q_mean,max_abs_direct_mean,max_abs_modulation_mean,auc_delta_q_mean,auc_direct_mean,auc_modulation_mean,n_trials_total,trial_D_max_median,trial_D_max_p90,trial_M_max_median,trial_M_max_p90,trial_M_mean_median,trial_M_mean_p90,trial_E_max_median,trial_E_max_p90,frac_trials_D_above,frac_trials_M_above,frac_trials_E_above,strategy_label,task_profile__experiment,task_profile__task,task_profile__n,task_profile__primary,task_profile__outcome,task_profile__strict,task_profile__d_onset,task_profile__m_onset,task_profile__q_onset,task_profile__uc_raw_d,task_profile__uc_raw_m,task_profile__uc_d_unique_of_m,task_profile__uc_d_unique_p,task_profile__uc_m_unique_of_d,task_profile__uc_m_unique_p,threshold__experiment,threshold__task,threshold__model,threshold__robustness_max,threshold__robustness_maxmean,threshold__pct_mixed_max,threshold__pct_direct_only_max,threshold__pct_mod_only_max,threshold__pct_none_max,threshold__pct_mixed_maxmean,threshold__pct_direct_only_maxmean,threshold__current_d_thresh,threshold__current_m_thresh,task_profile__m_div,task_profile__q_div
binary__additive__seed1,BinaryCategorizationTask,additive,1,1.0,300.0,1000.0,binary__additive__seed1,TwoRegionAdditiveRNN,1.0,1.0,1.0,"(1,1)","{'(1,1)': 1}",1.110927700996399,0.11535197496414185,1.660101294517517,26.23765754699707,1.4755033254623413,17.279611587524414,256,0.09785008430480957,0.1105344295501709,1.5012929439544678,1.630853295326233,0.38315045833587646,0.47696012258529663,1.0595983266830444,1.1001081466674805,1.0,1.0,1.0,"(1,1)",binary__additive__seed1,BinaryCategorizationTask,256,stimulus,response,True,15.0,32.3,19.2,0.444,0.0655,0.7621,0.0,-0.3796,0.0,binary__additive__seed1,BinaryCategorizationTask,TwoRegionAdditiveRNN,"leaning (1,1)","leaning (0,1)",75.0,0.0,25.0,0.0,40.0,0.0,0.06,0.04,,
binary__additive__seed2,BinaryCategorizationTask,additive,2,1.0,200.0,1000.0,binary__additive__seed2,TwoRegionAdditiveRNN,1.0,1.0,1.0,"(1,1)","{'(1,1)': 1}",1.0906341075897217,0.09094357490539551,1.2572253942489624,25.68973731994629,1.2269562482833862,13.384429931640625,256,0.07145524024963379,0.08618521690368652,1.0803368091583252,1.2353543043136597,0.2970759868621826,0.3611394762992859,1.0386930704116821,1.0736607313156128,0.78515625,1.0,1.0,"(1,1)",binary__additive__seed2,BinaryCategorizationTask,256,stimulus,response,True,14.1,32.5,19.3,0.5736,0.2928,0.8324,0.0,-0.261,2.3e-05,binary__additive__seed2,BinaryCategorizationTask,TwoRegionAdditiveRNN,"leaning (1,1)","leaning (0,1)",55.0,0.0,45.0,0.0,35.0,0.0,0.06,0.04,,
binary__additive__seed3,BinaryCategorizationTask,additive,3,1.0,300.0,1000.0,binary__additive__seed3,TwoRegionAdditiveRNN,1.0,1.0,1.0,"(1,1)","{'(1,1)': 1}",1.0872724056243896,0.09125512838363647,1.5238810777664185,25.632036209106445,0.9272090196609497,18.351673126220703,256,0.07641667127609253,0.08730068802833557,1.4767284393310547,1.5117733478546143,0.4110725522041321,0.4816209077835083,1.02805495262146,1.0820896625518799,0.9609375,1.0,1.0,"(1,1)",binary__additive__seed3,BinaryCategorizationTask,256,stimulus,response,True,14.8,31.5,19.5,0.5089,0.1916,0.6135,0.0,-0.1572,0.011797,binary__additive__seed3,BinaryCategorizationTask,TwoRegionAdditiveRNN,"leaning (1,1)","leaning (0,1)",60.0,0.0,40.0,0.0,25.0,0.0,0.06,0.04,,
binary__gated__seed1,BinaryCategorizationTask,gated,1,1.0,250.0,1000.0,binary__gated__seed1,TwoRegionGatedRNN,1.0,1.0,1.0,"(1,1)","{'(1,1)': 1}",1.093098759651184,0.10273981094360352,1.7238099575042725,26.30290985107422,1.0744553804397583,17.912174224853516,256,0.0837247371673584,0.09719213843345642,1.3377530574798584,1.7021477222442627,0.3893136978149414,0.5107084512710571,1.0552952289581299,1.081373691558838,0.95703125,1.0,1.0,"(1,1)",binary__gated__seed1,BinaryCategorizationTask,256,stimulus,response,True,14.5,31.9,19.0,0.4552,0.0559,0.7863,0.0,-0.3897,0.0,binary__gated__seed1,BinaryCategorizationTask,TwoRegionGatedRNN,"leaning (1,1)","leaning (0,1)",65.0,0.0,35.0,0.0,30.0,0.0,0.06,0.04,,
binary__gated__seed2,BinaryCategorizationTask,gated,2,1.0,300.0,1000.0,binary__gated__seed2,TwoRegionGatedRNN,1.0,1.0,1.0,"(1,1)","{'(1,1)': 1}",1.0568344593048096,0.09676581621170044,1.3570736646652222,25.370681762695312,1.5324513912200928,15.94622802734375,256,0.08431655168533325,0.09438133239746094,1.2608869075775146,1.3492016792297363,0.35544145107269287,0.41764360666275024,1.0300908088684082,1.0516011714935303,1.0,1.0,1.0,"(1,1)",binary__gated__seed2,BinaryCategorizationTask,256,stimulus,response,True,15.6,31.7,19.8,0.6884,0.388,0.9202,0.0,-0.8082,0.0,binary__gated__seed2,BinaryCategorizationTask,TwoRegionGatedRNN,"leaning (1,1)","leaning (0,1)",60.0,0.0,40.0,0.0,45.0,0.0,0.06,0.04,,
binary__gated__seed3,BinaryCategorizationTask,gated,3,1.0,300.0,1000.0,binary__gated__seed3,TwoRegionGatedRNN,1.0,1.0,1.0,"(1,1)","{'(1,1)': 1}",1.0798472166061401,0.0945671796798706,1.8199111223220825,25.74250602722168,1.080096960067749,19.987428665161133,256,0.07561257481575012,0.0900188684463501,1.561272144317627,1.7874573469161987,0.4308227300643921,0.5491909980773926,1.0345194339752197,1.0672175884246826,0.91796875,1.0,1.0,"(1,1)",binary__gated__seed3,BinaryCategorizationTask,256,stimulus,response,True,14.9,31.3,19.6,0.4681,0.211,0.6057,0.0,-0.2808,5e-06,binary__gated__seed3,BinaryCategorizationTask,TwoRegionGatedRNN,"leaning (1,1)","leaning (0,1)",60.0,0.0,40.0,0.0,30.0,0.0,0.06,0.04,,
context__additive__seed1,ContextDependentDecisionTask,additive,1,1.0,300.0,1000.0,context__additive__seed1,TwoRegionAdditiveRNN,1.0,1.0,1.0,"(1,1)","{'(1,1)': 1}",1.276138424873352,0.08049297332763672,1.6833274364471436,29.974838256835938,0.9454582929611206,10.686198234558105,256,0.04035493731498718,0.06962915509939194,0.5243663787841797,1.0767494440078735,0.17750325798988342,0.3413364291191101,1.1024715900421143,1.1715977191925049,0.19140625,1.0,1.0,"(1,1)",context__additive__seed1,,256,,,,,,,,,,,,,context__additive__seed1,ContextDependentDecisionTask,TwoRegionAdditiveRNN,"leaning (1,1)","leaning (0,1)",50.0,0.0,50.0,0.0,40.0,0.0,0.06,0.04,20.0,12.0
context__additive__seed2,ContextDependentDecisionTask,additive,2,1.0,600.0,1000.0,context__additive__seed2,TwoRegionAdditiveRNN,1.0,1.0,1.0,"(1,1)","{'(1,1)': 1}",1.3822455406188965,0.09896448254585266,0.962072491645813,31.831457138061523,1.1790940761566162,10.009387969970703,256,0.054063767194747925,0.09130170941352844,0.44673776626586914,0.6947141885757446,0.15577778220176697,0.308458149433136,1.1802937984466553,1.3300840854644775,0.3515625,1.0,1.0,"(1,1)",context__additive__seed2,,256,,,,,,,,,,,,,context__additive__seed2,ContextDependentDecisionTask,TwoRegionAdditiveRNN,"leaning (1,1)","leaning (1,1)",65.0,0.0,35.0,0.0,50.0,0.0,0.06,0.04,18.0,8.0
context__additive__seed3,ContextDependentDecisionTask,additive,3,0.998046875,250.0,1000.0,context__additive__seed3,TwoRegionAdditiveRNN,1.0,1.0,1.0,"(1,1)","{'(1,1)': 1}",1.6193956136703491,0.0710105299949646,1.5129611492156982,32.175392150878906,1.1949493885040283,14.921048164367676,256,0.03934374451637268,0.06707364320755005,0.6420133113861084,1.2624824047088623,0.2265065312385559,0.5227890014648438,1.147867202758789,1.490752935409546,0.26953125,1.0,1.0,"(1,1)",context__additive__seed3,,256,,,,,,,,,,,,,context__additive__seed3,ContextDependentDecisionTask,TwoRegionAdditiveRNN,"leaning (0,1)","leaning (0,1)",45.0,0.0,55.0,0.0,40.0,0.0,0.06,0.04,25.0,2.0
context__gated__seed1,ContextDependentDecisionTask,gated,1,1.0,400.0,1000.0,context__gated__seed1,TwoRegionGatedRNN,1.0,1.0,1.0,"(1,1)","{'(1,1)': 1}",1.3670707941055298,0.11504051089286804,1.3059303760528564,30.414215087890625,1.4436609745025635,9.103679656982422,256,0.057214975357055664,0.10700038075447083,0.4264095425605774,0.7593047618865967,0.1507970243692398,0.28984135389328003,1.0432320833206177,1.307935118675232,0.46875,1.0,1.0,"(1,1)",context__gated__seed1,,256,,,,,,,,,,,,,context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,"leaning (1,1)","leaning (1,1)",75.0,0.0,25.0,0.0,55.0,0.0,0.06,0.04,20.0,11.0
context__gated__seed2,ContextDependentDecisionTask,gated,2,0.998046875,400.0,1000.0,context__gated__seed2,TwoRegionGatedRNN,1.0,1.0,1.0,"(1,1)","{'(1,1)': 1}",1.2080790996551514,0.09461963176727295,0.9573780298233032,30.395092010498047,1.2567976713180542,6.868523597717285,256,0.06417134404182434,0.08416661620140076,0.38171303272247314,0.6926229596138,0.11550599336624146,0.2027178406715393,1.06489896774292,1.1437145471572876,0.5625,1.0,1.0,"(1,1)",context__gated__seed2,,256,,,,,,,,,,,,,context__gated__seed2,ContextDependentDecisionTask,TwoRegionGatedRNN,"leaning (1,1)","leaning (0,1)",60.0,0.0,40.0,0.0,40.0,0.0,0.06,0.04,27.0,21.0
context__gated__seed3,ContextDependentDecisionTask,gated,3,1.0,300.0,1000.0,context__gated__seed3,TwoRegionGatedRNN,1.0,1.0,1.0,"(1,1)","{'(1,1)': 1}",1.3214038610458374,0.12836194038391113,1.1494678258895874,29.728055953979492,1.4501606225967407,10.175054550170898,256,0.055390894412994385,0.11906814575195312,0.40343940258026123,0.7940133810043335,0.15875807404518127,0.3691357970237732,0.9920254349708557,1.2409908771514893,0.40234375,1.0,1.0,"(1,1)",context__gated__seed3,,256,,,,,,,,,,,,,context__gated__seed3,ContextDependentDecisionTask,TwoRegionGatedRNN,"robust (1,1)","leaning (1,1)",85.0,0.0,15.0,0.0,75.0,0.0,0.06,0.04,19.0,2.0
